S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Order Qty.,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,
PLANT: R01JAT - Jati Asih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO02-IDM230300124,1,Y,16/03/2023,HERI KUSWANTO,CU05613,PT. ARTAMA ANUGRAH KONSTRUKSI,DPAAK00003,RUKO ER.7/ER.8 (22 UNIT) GRAND WISATA,BEKASI    , ,22FV12A06XXX,50.00 ,20.00 ,20.00,,,,,,,,20.00,,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM230300090,1,Y,16/03/2023,HERI KUSWANTO,CU02666,PT JAYA TEKNIK PONDASI,DPJTP00003,WORKSHOP JAYA TEKNIK PONDASI. JL CARINGIN NO 149 KAMPUNG RAWA ROKO,BOJONG RAWA LUMBU BEKASI    , ,50PX12A06PTP,70.00 ,70.00 ,14.00,,,,,,,,7.00,,,7.00,,,,,,,,,,,,,,MANUAL,C4500D,,,
SO03-IDM230300096,1,Y,16/03/2023,FERDY WIDASMARA,CU00211,PT IKAGRIYA DARMAPERSADA,DPIDA00283,MC4. CLUSTER DANISA JL TERADAMAI SRIAMUR TAMBUN UTARA,BEKASI    , ,LCFI12A06XXX,100.00 ,100.00 ,14.00,,,,,,,,,,14.00,,,,,,,,,,,,,,,MANUAL,C6000C,,,
SO03-IDM230300097,1,Y,16/03/2023,FERDY WIDASMARA,CU00211,PT IKAGRIYA DARMAPERSADA,DPIDA00283,MC4. CLUSTER DANISA JL TERADAMAI SRIAMUR TAMBUN UTARA,BEKASI    , ,17FI12A06XXX,100.00 ,100.00 ,12.00,,,,,,,,,12.00,,,,,,,,,,,,,,,,MANUAL,C6000C,,,
SO02-IDM230300220,1,Y,16/03/2023,HERI KUSWANTO,CU05635,PT. KINDO MAKMUR JAYA,DPKMJ00004,JL PANGKALAN II RT 03 RW 02 DS CIKIWUL BANTAR GEBANG,BEKASI    , ,35PX12A06XXX,10.00 ,10.00 ,10.00,,,,,,,,10.00,,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO02-IDM230300092,1,Y,16/03/2023,HERI KUSWANTO,CT06043,BP HARDIAN EDO YULIANTO (NIK 3322161607980001),DRHEY00002,SEKOLAH ALEXANDRIA RAWALUMBU,BEKASI    , ,22FV12A06XXX,42.00 ,42.00 ,42.00,,,,,,,,,14.00,21.00,7.00,,,,,,,,,,,,,,CPS,C0000E,,,
SO02-IDM230300227,1,Y,16/03/2023,HERI KUSWANTO,CU05605,PT. ERZED SUKSES ANUGERAH,DPESA00002,MASJID IZZATUL ISLAM GRAND WISATA TAMBUN,BEKASI    , ,30FI12A06XXX,6.00 ,6.00 ,6.00,,,,,,,,,6.00,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM230300112,1,Y,16/03/2023,FERDY WIDASMARA,CU02347,PT ADDEL CIPTA GRAHA,DPACG00063,RENOVASI RUMAH BLOK P28 NO 03 DI PERUMAHAN CITRAGRAN CIBUBUR,CIBUBUR    , ,22FI12A06XXX,7.50 ,7.50 ,7.50,,,,,,,,,,,7.50,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO02-IDM230100346,1,Y,16/03/2023,FERDY WIDASMARA,CU01217,PT. LESINDO JAYA UTAMA,DPLJU00003,NUANSA CILANGKAP JL RAYA CILANGKAP RT 12 RW 01 CILANGKAP CIPAYUNG,JAKARTA TIMUR    , ,35MU12A06XXX,30.00 ,4.00 ,4.00,,,,,,,,,,,,4.00,,,,,,,,,,,,,MANUAL,C0000E,,,
SO02-IDM230200108,1,Y,16/03/2023,FERDY WIDASMARA,CU01217,PT. LESINDO JAYA UTAMA,DPLJU00003,NUANSA CILANGKAP JL RAYA CILANGKAP RT 12 RW 01 CILANGKAP CIPAYUNG,JAKARTA TIMUR    , ,35MU12A06XXX,38.00 ,17.00 ,17.00,,,,,,,,,,,,,17.00,,,,,,,,,,,,MANUAL,C0000E,,,
SO02-IDM230300176,1,Y,16/03/2023,FERDY WIDASMARA,CU01217,PT. LESINDO JAYA UTAMA,DPLJU00003,NUANSA CILANGKAP JL RAYA CILANGKAP RT 12 RW 01 CILANGKAP CIPAYUNG,JAKARTA TIMUR    , ,35MU12A06XXX,28.00 ,28.00 ,28.00,,,,,,,,,,,,,,21.00,7.00,,,,,,,,,,MANUAL,C0000E,,,
