S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Order Qty.,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,
PLANT: R01JAT - Jati Asih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO11-IDM230300001,1,Y,01/04/2023,FERDY WIDASMARA,CI00004,PT MOTIVE MULIA,CIMTM00433,PEKERJAAN PEMELIHARAAN PERIODIK (SFO) DAN REKONSTRUKSI PERKERASAN PADA JALAN TOL,JORR RUAS E1 E2 E3 W2S JALUR A DAN ULUJAMI PONDOK AREN JALUR B - 2023    , ,BC25XXA06JOR,900.00 ,758.00 ,24.00,,,,,,,,,,,,,,,,,,,6.00,6.00,6.00,6.00,,,MANUAL,C3000C,,,
SO21-IDM230300002,1,Y,01/04/2023,FERDY WIDASMARA,CU01222,PT. MULTI KARYA CEMERLANG,DPMKC00005,PEKERJAAN PEMELIHARAAN PERIODIK (SFO) DAN REKONSTRUKSI PERKERASAN PADA JALAN TOL,JORR RUAS E1 E2 E3 W2S JALUR A DAN ULUJAMI PONDOK AREN JALUR B - 2023    , ,VIPER45-03,630.00 ,469.68 ,24.00,,,,,,,,,,,,,,,,,,,,6.00,6.00,6.00,6.00,,MANUAL,C1400D,,,
SO21-IDM230300003,1,Y,01/04/2023,FERDY WIDASMARA,CU01222,PT. MULTI KARYA CEMERLANG,DPMKC00005,PEKERJAAN PEMELIHARAAN PERIODIK (SFO) DAN REKONSTRUKSI PERKERASAN PADA JALAN TOL,JORR RUAS E1 E2 E3 W2S JALUR A DAN ULUJAMI PONDOK AREN JALUR B - 2023    , ,VIPER45-06,110.00 ,110.00 ,6.00,,,,,,,,,,,,,,,,,,,,,,,6.00,,MANUAL,C1400D,,,
SO11-IDM230300002,1,Y,01/04/2023,FERDY WIDASMARA,CI00004,PT MOTIVE MULIA,CIMTM00434,RUAS JORR SEKSI E1 E2 E3 W2S JALUR B DAN ULUJAMI - PONDOK AREN JALUR A,JORR (MARGA MAJU MAPAN)    , ,BC25XXA06JOR,800.00 ,600.00 ,6.00,,,,,,,,,,,,,,,,,,,6.00,,,,,,MANUAL,C3000C,,,
SO21-IDM230300005,1,Y,01/04/2023,FERDY WIDASMARA,CU05252,PT. MARGA MAJU MAPAN,DPMMP00008,RUAS JORR SEKSI E1 E2 E3 W2S JALUR B DAN ULUJAMI - PONDOK AREN JALUR A,JORR    , ,VIPER45-03,556.50 ,379.85 ,12.00,,,,,,,,,,,,,,,,,,,,,,,6.00,6.00,MANUAL,C3000D,,,
SO21-IDM230300015,1,Y,01/04/2023,FERDY WIDASMARA,CU00234,PT KARYA PALMALINDO ANUGERAH,DPKPA00051,DEPARTEMENT BRS BEKASI RAYA CS 2023,BEKASI    , ,VIPER08,1650.00 ,1650.00 ,12.00,,,,,,,,,,,,,,,,,,,,,6.00,6.00,,,MANUAL,C3000D,,,
SO21-IDM230300016,1,Y,01/04/2023,FERDY WIDASMARA,CU00234,PT KARYA PALMALINDO ANUGERAH,DPKPA00051,DEPARTEMENT BRS BEKASI RAYA CS 2023,BEKASI    , ,VCTB,1300.00 ,1300.00 ,12.00,,,,,,,,,,,,,,,,,,,,,,,6.00,6.00,MANUAL,C3000D,,,
SO02-IDM230300509,1,Y,01/04/2023,FERDY WIDASMARA,CU05377,PT. KAPEZTA MULTI MANDIRI,DPKMM00012,PERBAIKAN JALAN ASPAL DARI DEPAN STARBUCK SAMPAI PASAR MODERN METODE COR,SISI KANAN DAN KIRI GRAND WISATA - BEKASI TIMUR    , ,40FI12A06XXX,135.00 ,135.00 ,100.00,,,,,,,,,,,,,,,,,7.00,14.00,14.00,14.00,14.00,14.00,14.00,9.00,MANUAL,C0000E,,,
SO03-IDM230300096,1,Y,01/04/2023,FERDY WIDASMARA,CU00211,PT IKAGRIYA DARMAPERSADA,DPIDA00283,MC4. CLUSTER DANISA JL TERADAMAI SRIAMUR TAMBUN UTARA,BEKASI    , ,LCFI12A06XXX,100.00 ,19.00 ,14.00,,,,,,,,7.00,7.00,,,,,,,,,,,,,,,,MANUAL,C6000C,,,
SO03-IDM230300097,1,Y,01/04/2023,FERDY WIDASMARA,CU00211,PT IKAGRIYA DARMAPERSADA,DPIDA00283,MC4. CLUSTER DANISA JL TERADAMAI SRIAMUR TAMBUN UTARA,BEKASI    , ,17FI12A06XXX,100.00 ,82.00 ,7.00,,,,,,,,,,7.00,,,,,,,,,,,,,,,MANUAL,C6000C,,,
SO03-IDM230300098,1,Y,01/04/2023,FERDY WIDASMARA,CU00211,PT IKAGRIYA DARMAPERSADA,DPIDA00283,MC4. CLUSTER DANISA JL TERADAMAI SRIAMUR TAMBUN UTARA,BEKASI    , ,22FI12A06XXX,100.00 ,68.00 ,14.00,,,,,,,,,,14.00,,,,,,,,,,,,,,,MANUAL,C6000C,,,
SO02-IDM230300504,1,Y,01/04/2023,HERI KUSWANTO,CT06128,BP EDY PRIYANTO (NIK 3326150811800004),DREPY00002,"LANTAI GUDANG PT DSP INOLA, JL PANGKALAN 2 RT 002 RW 002 SUMUR BATU",BEKASI    , ,35FV10A06XXX,42.00 ,42.00 ,42.00,,,,,,,,14.00,21.00,7.00,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM230300215,1,Y,01/04/2023,HERI KUSWANTO,CU02666,PT JAYA TEKNIK PONDASI,DPJTP00003,WORKSHOP JAYA TEKNIK PONDASI. JL CARINGIN NO 149 KAMPUNG RAWA ROKO,BOJONG RAWA LUMBU BEKASI    , ,50PX12A06PTP,70.00 ,70.00 ,14.00,,,,,,,,,7.00,7.00,,,,,,,,,,,,,,,MANUAL,C4500D,,,
SO02-IDM230300516,1,Y,01/04/2023,HERI KUSWANTO,CU05655,PT. ANIGOS JAYA PERKASA,DPANG00004,PT ANIGOS JAYA PERKASA JL WR SUPRATMAN NO 14B RT 003 RW 007 KEC CIMUNING,KEL MUSTIKA JAYA KOTA BEKASI    , ,30FV12A06XXX,8.00 ,8.00 ,8.00,,,,,,,,,,,8.00,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM230300037,1,Y,01/04/2023,HERI KUSWANTO,CU00145,PT ANUGRAH RAYNI SENTOSA,DPARS00079,TERA DAMAI.23.01-PROYEK TERA DAMAI CLUSTER DANISHA SRIAMUR,BEKASI UTARA    , ,LCFV12A06XXX,220.00 ,129.00 ,14.00,,,,,,,,,,,7.00,7.00,,,,,,,,,,,,,MANUAL,C3000C,,,
SO02-IDM230300424,1,Y,01/04/2023,HERI KUSWANTO,CU05646,PT. ANGKASA WASTU PRATAMA,DPAWP00002,JL RAYA CIANGSANA KP PABYARAN SEBELAH SDN 2 CIANGSANA,BOGOR    , ,25FV12A06XXX,50.00 ,50.00 ,56.00,,,,,,,,,,,,21.00,21.00,14.00,,,,,,,,,,,CPS,C0000E,,,
SO02-IDM230300522,1,Y,01/04/2023,DEDE JUNAEDI,CU04612,PT. PROYEKIN BANGUN NEGERI,DPPBN00072,PT DWI SAKA TUNAS MITRA JL TB SIMATUPANG NO 14 RT 11 RW 4 TJ BARAT KEC JAGAKARSA,JAKARTA SELATAN 12530    , ,35FV12A06XXX,25.00 ,25.00 ,25.00,,,,,,,,,,,21.00,4.00,,,,,,,,,,,,,CPS,C0000E,,,
