S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,
PLANT: R01JAT - Jati Asih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM210400123,1,Y,31/08/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,10PX12A06XXX,235.40 ,14.0,,,,,,,,,,,,7.00,7.00,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210800388,1,Y,31/08/2021,DEDE JUNAEDI,CU02666,PT JAYA TEKNIK PONDASI,DPJTP00003,WORKSHOP JAYA TEKNIK PONDASI. JL CARINGIN NO 149 KAMPUNG RAWA ROKO,BOJONG RAWA LUMBU BEKASI    , ,50PX12A06PTP,55.00 ,20.0,,,,,,,,,,,,,5.00,5.00,5.00,5.00,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210800488,1,Y,31/08/2021,DEDE JUNAEDI,CU04434,CV RINPAR,DPRPR00007,REKONSTRUKSI JALAN (PENGECORAN JALAN DI BLOK L4 MGT RT03 RW 31),BEKASI    , ,30MX12A06BKS,80.00 ,70.0,,,,,,,,,,,,,,,,,,,14.00,14.00,14.00,14.00,14.00,,MANUAL,C3000D,,,
SO03-IDM210700253,1,Y,31/08/2021,DEDE JUNAEDI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,22PX12A06XXX,266.00 ,42.0,,,,,,,,,,,,,,7.00,7.00,7.00,7.00,7.00,7.00,,,,,,MANUAL,C3000D,,,
SO03-IDM210800401,1,Y,31/08/2021,FERDY WIDASMARA,CU02387,PT KHASEA BERSAUDARA HA9NKOE,DRKBH00044,PENINGKATAN JLN SILIWANGI III A RT 01/017 KEL JATIRAHAYU,PONDOK MELATI BEKASI    , ,30MX12A06BKS,35.00 ,35.0,,,,,,,,,,,,,,,,,,,7.00,7.00,7.00,7.00,7.00,,MANUAL,C3000E,,,
SO03-IDM210800322,1,Y,31/08/2021,DEDE JUNAEDI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,30BX18A06XXX,1000.00 ,105.0,,,,,,,,,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,,MANUAL,C3000D,,,
SO03-IDM210800198,1,Y,31/08/2021,DEDE JUNAEDI,CU04168,PT BINA NUSANTARA RAYA,DPBNR00006,CLUSTER KENCANA KAWASAN VIDA BEKASI 17151,VIDA BEKASI    , ,LCFU12A06XXX,100.00 ,12.0,,,,,,,,,,,,,,,7.00,5.00,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210800394,1,Y,31/08/2021,FERDY WIDASMARA,CU04660,PT. PRIMA SOLUSI INTEGRA,DPPSI00044,PT PRIMA SOLUSI INTEGRA. GUDANG PSI JL ARTERRI JORR JATIWARNA RT 002 RW 003,JATI MELATI PONDOK MELATI KOTA BEKASI    , ,BC25XXA11XXX,90.00 ,14.0,,,,,,,,,,,,,,,,,,,,7.00,7.00,,,,MANUAL,C3000D,,,
SO03-IDM210800395,1,Y,31/08/2021,FERDY WIDASMARA,CU04660,PT. PRIMA SOLUSI INTEGRA,DPPSI00044,PT PRIMA SOLUSI INTEGRA. GUDANG PSI JL ARTERRI JORR JATIWARNA RT 002 RW 003,JATI MELATI PONDOK MELATI KOTA BEKASI    , ,BC14XXC11XXX,17.00 ,7.0,,,,,,,,,,,,,,,,,,,,,,7.00,,,MANUAL,C3000D,,,
SO03-IDM210800152,1,Y,31/08/2021,FERDY WIDASMARA,CU04677,PT. MITRA SETYA UTAMA,DPMSU00038,REKON RAMP D & RAMP H,KP RAMBUTAN    , ,VCTB,76.50 ,14.0,,,,,,,,,,,,,,,,,,,,7.00,7.00,,,,MANUAL,C3000D,,,
SO02-IDM210800300,1,Y,31/08/2021,FERDY WIDASMARA,CU04698,PT. TAMADO KONSTRUKSINDO SELARAS,DPTKS00006,FRANCO PROYEK TPST BANTAR GEBANG CIKETING UDIK,BEKASI    , ,LCPX12A06XXX,29.00 ,21.0,,,,,,,,,,7.00,7.00,7.00,,,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM210800179,1,Y,31/08/2021,FERDY WIDASMARA,CU00827,PT DELTA BAJA MASA,DPDBM00023,MULIA RAYA PANGKALAN 6 BEKASI,BEKASI    , ,30PX12A06XXX,877.00 ,28.0,,,,,,,,,,,,,,7.00,7.00,7.00,7.00,,,,,,,,MANUAL,C3000D,,,
SO02-IDM210800415,1,Y,31/08/2021,FERDY WIDASMARA,CU04698,PT. TAMADO KONSTRUKSINDO SELARAS,DPTKS00005,PEKERJAAN PEMELIHARAAN JALAN OPERASIONAL TPST BANTARGEBANG,BEKASI    , ,45RX07A06XXX,70.00 ,35.0,,,,,,,,,,,,,,,,,,,,7.00,7.00,7.00,7.00,7.00,MANUAL,C0000E,,,
SO02-IDM210800401,1,Y,31/08/2021,DEDE JUNAEDI,CU00190,PT. DUA PUTRA PERKASA PRATAMA,DPDPP00025,PT DUA PUTRA PERKASA KWS INDUSTRI CIPENDAWA JL BARU CIPENDAWA NO 88,KEL BOJONG MENTENG KEC RAWA LUMBU KOTA BEKASI    , ,35PX12A06XXX,200.00 ,70.0,,,,,,,,14.00,14.00,14.00,14.00,14.00,,,,,,,,,,,,,CPS,C0000A,,,
