S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,
PLANT: R01JAT - Jati Asih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM210900392,1,Y,13/10/2021,DARMA UJUR SIMBOLON,CU02126,PT KADI INTERNATIONAL,DPKII00004,PEMELIHARAAN PRIODIK REKONSTRUKSI PADA JALAN TOL LINGKAR LUAR JAKARTA (JORR),SEKSI E1 E2 E3 W2S JALUR A DAN ULUJAMI PONDOK RANJI JALUR D    , ,VIPER45-03,212.00 ,14.0,,,,,,,,,,,,,,,,,,,,,,,7.00,7.00,MANUAL,C3000D,,,
SO03-IDM210900393,1,Y,13/10/2021,DARMA UJUR SIMBOLON,CU02126,PT KADI INTERNATIONAL,DPKII00004,PEMELIHARAAN PRIODIK REKONSTRUKSI PADA JALAN TOL LINGKAR LUAR JAKARTA (JORR),SEKSI E1 E2 E3 W2S JALUR A DAN ULUJAMI PONDOK RANJI JALUR D    , ,BC25XXA06JOR,225.00 ,10.0,,,,,,,,,,,,,,,,,,,,,5.00,5.00,,,MANUAL,C3000D,,,
SO03-IDM210800263,1,Y,13/10/2021,FERDY WIDASMARA,CU04725,PUTRA NANGGROE ACEH - INTAN CIPTA PERDANA KSO,DPPAC00004,PEMBUATAN DUPLIKASI CROSSING TOLL DAN TARUM BARAT (SALURAN BSK),JAKARTA    , ,17BI18A06XXX,92.00 ,7.0,,,,,,,,,,7.00,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210800265,1,Y,13/10/2021,FERDY WIDASMARA,CU04725,PUTRA NANGGROE ACEH - INTAN CIPTA PERDANA KSO,DPPAC00004,PEMBUATAN DUPLIKASI CROSSING TOLL DAN TARUM BARAT (SALURAN BSK),JAKARTA    , ,30FI12A06XXX,60.00 ,7.0,,,,,,,,,,,,,7.00,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210800266,1,Y,13/10/2021,FERDY WIDASMARA,CU04725,PUTRA NANGGROE ACEH - INTAN CIPTA PERDANA KSO,DPPAC00004,PEMBUATAN DUPLIKASI CROSSING TOLL DAN TARUM BARAT (SALURAN BSK),JAKARTA    , ,35PX12A06XXX,107.50 ,7.0,,,,,,,,,,,,,,,7.00,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210800267,1,Y,13/10/2021,FERDY WIDASMARA,CU04725,PUTRA NANGGROE ACEH - INTAN CIPTA PERDANA KSO,DPPAC00004,PEMBUATAN DUPLIKASI CROSSING TOLL DAN TARUM BARAT (SALURAN BSK),JAKARTA    , ,35BI18A06XXX,218.00 ,14.0,,,,,,,,,,,,,,,,7.00,7.00,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700407,1,Y,13/10/2021,FERDY WIDASMARA,CU04660,PT. PRIMA SOLUSI INTEGRA,DPPSI00044,PT PRIMA SOLUSI INTEGRA. GUDANG PSI JL ARTERRI JORR JATIWARNA RT 002 RW 003,JATI MELATI PONDOK MELATI KOTA BEKASI    , ,BC25XXA11XXX,47.00 ,6.0,,,,,,,,,,,,,6.00,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210900433,1,Y,13/10/2021,FERDY WIDASMARA,CU04660,PT. PRIMA SOLUSI INTEGRA,DPPSI00044,PT PRIMA SOLUSI INTEGRA. GUDANG PSI JL ARTERRI JORR JATIWARNA RT 002 RW 003,JATI MELATI PONDOK MELATI KOTA BEKASI    , ,BC14XXC11XXX,15.00 ,3.0,,,,,,,,,,,,,,3.00,,,,,,,,,,,MANUAL,C3000D,,,
SO02-IDM210900559,1,Y,13/10/2021,FERDY WIDASMARA,CU04773,PT. MULTI CIPTA BANGUN SERASI,DPMCS00012,RUKO DAN PERGUDANGAN MULTI BIZPARK SUMUR BATU,BANTARGEBANG    , ,35PX12A06XXX,81.00 ,14.0,,,,,,,,,7.00,,,,,7.00,,,,,,,,,,,MANUAL,C0000E,,,
SO08-IDM211000011,1,Y,13/10/2021,FERDY WIDASMARA,CU01333,PT MODERN WIDYA TEHNICAL,DPMWT00008,SKYBRIDGE REVO BEKASI BARAT,BEKASI    , ,40MI12A06XXX,4.00 ,4.0,,,,,,,,,4.00,,,,,,,,,,,,,,,,MANUAL,C3000C,,,
SO02-IDM211000131,1,Y,13/10/2021,DEDE JUNAEDI,CU04772,PT. FITAMA PUTRI MANDIRI,DPFPM00007,PEKERJAAN LANJUTAN PENAMBAHAN IPAL BERSAMA UNTUK MENGELOLA SIR SUNGAI,YANG TERCEMAR AIR LINDI KEL SUMUR BATU KEC BANTARGEBANG BEKASI    , ,35PX12A06BKS,13.00 ,14.0,,,,,,,,,,,14.00,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO02-IDM211000229,1,Y,13/10/2021,DEDE JUNAEDI,CU04772,PT. FITAMA PUTRI MANDIRI,DPFPM00007,PEKERJAAN LANJUTAN PENAMBAHAN IPAL BERSAMA UNTUK MENGELOLA SIR SUNGAI,YANG TERCEMAR AIR LINDI KEL SUMUR BATU KEC BANTARGEBANG BEKASI    , ,35PX12A06BKS,66.00 ,28.0,,,,,,,,,,,,14.00,,,,,,7.00,7.00,,,,,,MANUAL,C0000E,,,
SO03-IDM211000087,1,Y,13/10/2021,DEDE JUNAEDI,CU02666,PT JAYA TEKNIK PONDASI,DPJTP00003,WORKSHOP JAYA TEKNIK PONDASI. JL CARINGIN NO 149 KAMPUNG RAWA ROKO,BOJONG RAWA LUMBU BEKASI    , ,50PX12A06PTP,25.00 ,10.0,,,,,,,,,5.00,5.00,,,,,,,,,,,,,,,MANUAL,C3000A,,,
SO03-IDM210900168,1,Y,13/10/2021,DEDE JUNAEDI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,30BX18A06XXX,4170.00 ,105.0,,,,,,,,,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,,MANUAL,C3000D,,,
SO03-IDM210900548,1,Y,13/10/2021,DEDE JUNAEDI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,22PX12A06XXX,3000.00 ,98.0,,,,,,,,,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,,,MANUAL,C3000D,,,
SO03-IDM210900382,1,Y,13/10/2021,DEDE JUNAEDI,CU02632,PT KIRANA KURNIA KREASI,DPKKI00006,PERUM GRAND WISATA - VERMELLA - CHERRY VILLE HC3 HC5 HC9,BEKASI    , ,22FI12A06XXX,123.00 ,7.0,,,,,,,,,,,,,,7.00,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210900568,1,Y,13/10/2021,DEDE JUNAEDI,CU00211,PT IKAGRIYA DARMAPERSADA,DPIDA00259,CITRALAND14. CLUSTER MONTEREY KM 4 BLOK F6 NO 3,JONGGOL    , ,17FI12A06XXX,27.00 ,5.0,,,,,,,,5.00,,,,,,,,,,,,,,,,,MANUAL,C3000C,,,
SO03-IDM210400143,1,Y,13/10/2021,FERDY WIDASMARA,CU00361,PT WIJAYA KUSUMA CONTRACTORS,DPWKC00011,APARTEMENT MEGA CITY BEKASI,JL AHMAD YANI   NO 1 BEKASI JAWA BARAT    , ,30MI14A06MBA,382.50 ,4.5,,,,,,,,4.50,,,,,,,,,,,,,,,,,,C3000D,,,
SO03-IDM210900169,1,Y,13/10/2021,DEDE JUNAEDI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,10PX12A06XXX,880.00 ,14.0,,,,,,,,,,,,,7.00,7.00,,,,,,,,,,,MANUAL,C3000D,,,
