S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Order Qty.,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,
PLANT: R01JAT - Jati Asih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM211000360,1,Y,16/11/2021,DARMA UJUR SIMBOLON,CU02126,PT KADI INTERNATIONAL,DPKII00004,PEMELIHARAAN PRIODIK REKONSTRUKSI PADA JALAN TOL LINGKAR LUAR JAKARTA (JORR),SEKSI E1 E2 E3 W2S JALUR A DAN ULUJAMI PONDOK RANJI JALUR D    , ,VIPER45-03,150.00 ,107.40 ,7.0,,,,,,,,,,,,,,,,,,,,,7.00,,,,MANUAL,C3000D,,,
SO03-IDM211000361,1,Y,16/11/2021,DARMA UJUR SIMBOLON,CU02126,PT KADI INTERNATIONAL,DPKII00004,PEMELIHARAAN PRIODIK REKONSTRUKSI PADA JALAN TOL LINGKAR LUAR JAKARTA (JORR),SEKSI E1 E2 E3 W2S JALUR A DAN ULUJAMI PONDOK RANJI JALUR D    , ,BC25XXA06JOR,150.00 ,102.50 ,7.0,,,,,,,,,,,,,,,,,,,,,,7.00,,,MANUAL,C3000D,,,
SO03-IDM211100240,1,Y,16/11/2021,DEDE JUNAEDI,CU04616,PT. STRADA CAHYA GEMILANG,DPSCG00101,PT SRIKANDI INDONESIA PONDASI. PROYEK RUANG KONTROL MABES POLRI CILANGKAP,CILANGKAP    , ,25FI12A06XXX,100.00 ,100.00 ,14.0,,,,,,,,,,7.00,7.00,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210900168,1,Y,16/11/2021,DEDE JUNAEDI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,30BX18A06XXX,5000.00 ,3508.50 ,14.0,,,,,,,,,,,,7.00,7.00,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210900169,1,Y,16/11/2021,DEDE JUNAEDI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,10PX12A06XXX,1000.00 ,691.50 ,14.0,,,,,,,,,,,,7.00,7.00,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210900548,1,Y,16/11/2021,DEDE JUNAEDI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,22PX12A06XXX,3000.00 ,466.50 ,14.0,,,,,,,,,,,,7.00,7.00,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM211000297,1,Y,16/11/2021,DEDE JUNAEDI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,30BX18A06XXX,5000.00 ,4888.50 ,14.0,,,,,,,,,,,,7.00,7.00,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM211100037,1,Y,16/11/2021,DEDE JUNAEDI,CU04503,PT. CITRA BUANA KREASI PRATAMA,DPCBK00007,JL CIKIWUL NO 4 BANTAR GEBANG,BEKASI JAWA BARAT    , ,LCFI12A06XXX,32.00 ,27.00 ,10.0,,,,,,,,,,,,,,,5.00,5.00,,,,,,,,,MANUAL,C3000D,,,
SO02-IDM211100063,1,Y,16/11/2021,DEDE JUNAEDI,CU04772,PT. FITAMA PUTRI MANDIRI,DPFPM00007,PEKERJAAN LANJUTAN PENAMBAHAN IPAL BERSAMA UNTUK MENGELOLA SIR SUNGAI,YANG TERCEMAR AIR LINDI KEL SUMUR BATU KEC BANTARGEBANG BEKASI    , ,35PX12A06BKS,100.00 ,51.00 ,7.0,,,,,,,,,,,,,,7.00,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM211100183,1,Y,16/11/2021,DEDE JUNAEDI,CU02666,PT JAYA TEKNIK PONDASI,DPJTP00003,WORKSHOP JAYA TEKNIK PONDASI. JL CARINGIN NO 149 KAMPUNG RAWA ROKO,BOJONG RAWA LUMBU BEKASI    , ,50PX12A06PTP,60.00 ,35.00 ,10.0,,,,,,,,,,5.00,5.00,,,,,,,,,,,,,,MANUAL,C4500D,,,
SO03-IDM211100057,1,Y,16/11/2021,DEDE JUNAEDI,CU04168,PT BINA NUSANTARA RAYA,DPBNR00006,CLUSTER KENCANA KAWASAN VIDA BEKASI 17151,VIDA BEKASI    , ,30FI12A06XXX,100.00 ,36.00 ,21.0,,,,,,,,14.00,7.00,,,,,,,,,,,,,,,,CPS,C3000D,,,
SO02-IDM211100271,1,Y,16/11/2021,DEDE JUNAEDI,CU02816,CV INDOBARU MANDIRI,DPIBM00142,KLAPANUNGGAL PERMATA ENERGI COR LANTAI GUDANG JL RAYA NAROGONG KM 52,DS LIMUSNUNGGAL KEC CILEUNGSI    , ,25FI12A06XXX,35.00 ,35.00 ,35.0,,,,,,,7.00,7.00,7.00,7.00,7.00,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM210800179,1,Y,16/11/2021,FERDY WIDASMARA,CU00827,PT DELTA BAJA MASA,DPDBM00023,MULIA RAYA PANGKALAN 6 BEKASI,BEKASI    , ,30PX12A06XXX,1000.00 ,248.50 ,49.0,,,,,,,,,,,,,7.00,7.00,7.00,7.00,7.00,7.00,7.00,,,,,,MANUAL,C3000D,,,
SO03-IDM211100022,1,Y,16/11/2021,DEDE JUNAEDI,CU04497,CV. SURYA PRATAMA INDONESIA,DPSPT00012,CBD CIBUBUR,CIBUBUR    , ,22PX12A06XXX,73.00 ,19.00 ,8.0,,,,,,,,,,,4.00,4.00,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM211000523,1,Y,16/11/2021,FERDY WIDASMARA,CU00274,PT. MUSTIKA GRAHASURYA PERSADA,DPMGP00063,PENGECORAN JALAN BARITO RAYA & BARITO 3 RT 007 RW 007 JAKAMULYA,BEKASI SELATAN    , ,35PX12A06BKS,300.00 ,258.00 ,42.0,,,,,,,,,,,,,,,,,,,7.00,7.00,7.00,7.00,7.00,7.00,MANUAL,C3000D,,,
SO03-IDM211000527,1,Y,16/11/2021,FERDY WIDASMARA,CU04660,PT. PRIMA SOLUSI INTEGRA,DPPSI00044,PT PRIMA SOLUSI INTEGRA. GUDANG PSI JL ARTERRI JORR JATIWARNA RT 002 RW 003,JATI MELATI PONDOK MELATI KOTA BEKASI    , ,BC14XXC11XXX,21.00 ,14.00 ,3.0,,,,,,,,,,,3.00,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM211100231,1,Y,16/11/2021,FERDY WIDASMARA,CU04660,PT. PRIMA SOLUSI INTEGRA,DPPSI00044,PT PRIMA SOLUSI INTEGRA. GUDANG PSI JL ARTERRI JORR JATIWARNA RT 002 RW 003,JATI MELATI PONDOK MELATI KOTA BEKASI    , ,BC25XXA11XXX,98.00 ,98.00 ,7.0,,,,,,,,,,7.00,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM211000461,1,Y,16/11/2021,FERDY WIDASMARA,CU04725,PUTRA NANGGROE ACEH - INTAN CIPTA PERDANA KSO,DPPAC00004,PEMBUATAN DUPLIKASI CROSSING TOLL DAN TARUM BARAT (SALURAN BSK),JAKARTA    , ,17BI18A06XXX,200.00 ,156.00 ,7.0,,,,,,,,,,,,,,7.00,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM211000462,1,Y,16/11/2021,FERDY WIDASMARA,CU04725,PUTRA NANGGROE ACEH - INTAN CIPTA PERDANA KSO,DPPAC00004,PEMBUATAN DUPLIKASI CROSSING TOLL DAN TARUM BARAT (SALURAN BSK),JAKARTA    , ,35PX12A06XXX,300.00 ,277.00 ,7.0,,,,,,,,,,,,,,7.00,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM211000460,1,Y,16/11/2021,FERDY WIDASMARA,CU04725,PUTRA NANGGROE ACEH - INTAN CIPTA PERDANA KSO,DPPAC00004,PEMBUATAN DUPLIKASI CROSSING TOLL DAN TARUM BARAT (SALURAN BSK),JAKARTA    , ,12FI12A06XXX,50.00 ,40.00 ,14.0,,,,,,,,,,,,,,,,,,7.00,7.00,,,,,,MANUAL,C3000D,,,
SO03-IDM211100126,1,Y,16/11/2021,FERDY WIDASMARA,CU04725,PUTRA NANGGROE ACEH - INTAN CIPTA PERDANA KSO,DPPAC00004,PEMBUATAN DUPLIKASI CROSSING TOLL DAN TARUM BARAT (SALURAN BSK),JAKARTA    , ,35BI18A06XXX,75.00 ,75.00 ,21.0,,,,,,,,,,,,,,,,7.00,7.00,7.00,,,,,,,MANUAL,C3000D,,,
SO03-IDM211100221,1,Y,16/11/2021,DEDE JUNAEDI,CU04497,CV. SURYA PRATAMA INDONESIA,DPSPT00010,CITRALAND CIBUBUR,CIBUBUR    , ,22PX12A06XXX,18.00 ,18.00 ,8.0,,,,,,,,,,,,,,,8.00,,,,,,,,,,MANUAL,C3000D,,,
