S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,1.0,2.0,3.0,4.0,5.0,6.0,UnLoading Method,Term,Remark,Reason,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM210700256,1,Y,21/07/2021,DEDE JUNAEDI,CU04616,PT. STRADA CAHYA GEMILANG,DPSCG00040,CV ALVABET. PERUMAHAN ARUMDANI ESTATE SEROJA,BEKASI UTARA    , ,35FI12A06XXX,14.00 ,14.0,,,,,,,,,7.00,7.00,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700158,1,Y,21/07/2021,DEDE JUNAEDI,CU02666,PT JAYA TEKNIK PONDASI,DPJTP00003,WORKSHOP JAYA TEKNIK PONDASI. JL CARINGIN NO 149 KAMPUNG RAWA ROKO,BOJONG RAWA LUMBU BEKASI    , ,50PX12A06PTP,30.00 ,10.0,,,,5.00,5.00,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210400124,1,Y,21/07/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,22PX12A06XXX,165.50 ,28.0,,,,,,,,7.00,7.00,7.00,7.00,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700253,1,Y,21/07/2021,DEDE JUNAEDI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,22PX12A06XXX,2000.00 ,28.0,,,,,,,,,,,,7.00,7.00,7.00,7.00,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700254,1,Y,21/07/2021,DEDE JUNAEDI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,30BX18A06XXX,4813.50 ,60.0,,,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700208,1,Y,21/07/2021,DEDE JUNAEDI,CU00153,PT BANGUN MENARA ABADI,DPBMA00070,KW29. KOTA WISATA CLUSTER MIAMI BLOK SL2/9,CIBUBUR    , ,22FI14A06XXX,10.00 ,10.0,,,,5.00,5.00,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700123,1,Y,21/07/2021,DEDE JUNAEDI,CU04616,PT. STRADA CAHYA GEMILANG,DPSCG00041,"CV CIBALAGUNG INDAH PERSADA. PT RUSLI VINILON SAKTI JL NAROGONG KM 15,5",KAB BOGOR    , ,30PX12A06XXX,94.00 ,21.0,,7.00,14.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
