S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Order Qty.,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,
PLANT: R07BJN - Plant Bojonegoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO13-IDM221000003,1,Y,30/11/2022,ARI YUSUP,CI00004,PT MOTIVE MULIA,CIMTM00427,UNTUK KEBUTUHAN PROYEK MAHATA,MAHATA    , ,40PX40A06M8M,200.00 ,200.00 ,7.00,,,,,,,,,,7.00,,,,,,,,,,,,,,,MANUAL,C3000C,,,
SO13-IDM221000002,1,Y,30/11/2022,ARI YUSUP,CI00004,PT MOTIVE MULIA,CIMTM00424,UNTUK PROJECT MRT HUB JAKARTA,JAKARTA    , ,35PXFLA06MM5,500.00 ,362.00 ,7.00,,,,,,,,,,,7.00,,,,,,,,,,,,,,MANUAL,C3000C,,,
SO13-IDM221100001,1,Y,30/11/2022,ARI YUSUP,CI00004,PT MOTIVE MULIA,CIMTM00332,PRECAST STANDAR PRODUCT TO REQUEST NON WAREHOUSE INVENTORI,BOJONEGARA    , ,35PXFLA06MM6,500.00 ,500.00 ,7.00,,,,,,,,,,,,7.00,,,,,,,,,,,,,MANUAL,C3000C,,,
SO13-IDM221100002,1,Y,30/11/2022,ARI YUSUP,CI00004,PT MOTIVE MULIA,CIMTM00332,PRECAST STANDAR PRODUCT TO REQUEST NON WAREHOUSE INVENTORI,BOJONEGARA    , ,35PXFLA06MM5,200.00 ,200.00 ,7.00,,,,,,,,,,,,,7.00,,,,,,,,,,,,MANUAL,C3000C,,,
SO03-IDM220900090,1,Y,30/11/2022,ARI YUSUP,CU05215,KINE PROJECT JO,DPKPJ00002,LINE PROJECT WP5&7 JL RAYA MERAK KM 116 DESA RAWA ARUM PULOMERAK GEREM,KOTA CILEGON BANTEN 42436    , ,24MX12A06LLP,1000.00 ,380.00 ,7.00,,,,,,,,,,,,,7.00,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM221000074,1,Y,30/11/2022,ARI YUSUP,CU05215,KINE PROJECT JO,DPKPJ00002,LINE PROJECT WP5&7 JL RAYA MERAK KM 116 DESA RAWA ARUM PULOMERAK GEREM,KOTA CILEGON BANTEN 42436    , ,15MX12A06LLP,1054.00 ,826.00 ,7.00,,,,,,,,,,,,,,7.00,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM221000075,1,Y,30/11/2022,ARI YUSUP,CU05215,KINE PROJECT JO,DPKPJ00002,LINE PROJECT WP5&7 JL RAYA MERAK KM 116 DESA RAWA ARUM PULOMERAK GEREM,KOTA CILEGON BANTEN 42436    , ,28MX12A06LLP,5000.00 ,2171.00 ,7.00,,,,,,,,,,,,,,,7.00,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM220900013,1,Y,30/11/2022,ARI YUSUP,CU05215,KINE PROJECT JO,DPKPJ00003,LINE PROJECT WP6 JL RAYA MERAK KM 116 DESA RAWA ARUM PULOMERAK GEREM,KOTA CILEGON BANTEN 42436    , ,15MX12A06LLP,1000.00 ,580.00 ,7.00,,,,,,,,,,,7.00,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM221000042,1,Y,30/11/2022,ARI YUSUP,CU05215,KINE PROJECT JO,DPKPJ00003,LINE PROJECT WP6 JL RAYA MERAK KM 116 DESA RAWA ARUM PULOMERAK GEREM,KOTA CILEGON BANTEN 42436    , ,24MX15A06LLP,1000.00 ,348.50 ,28.00,,,,,,,,,,,,14.00,14.00,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM220900006,1,Y,30/11/2022,ARI YUSUP,CU05289,PT. HEIN GLOBAL UTAMA,DPHGU00002,LOTTE INDONESIA NEW ETHYLENE COMPLEX PROJECT,"CILEGON, BANTEN    ", ,15MX12A06LNE,500.00 ,332.50 ,7.00,,,,,,,,,,,,,,7.00,,,,,,,,,,,MANUAL,C6000D,,,
SO03-IDM220900413,1,Y,30/11/2022,ARI YUSUP,CU05289,PT. HEIN GLOBAL UTAMA,DPHGU00002,LOTTE INDONESIA NEW ETHYLENE COMPLEX PROJECT,"CILEGON, BANTEN    ", ,24MX12A06LNE,1000.00 ,578.00 ,49.00,,,,,,,,,,,,,,14.00,14.00,14.00,7.00,,,,,,,,CPS,C6000D,,,
SO03-IDM221000194,1,Y,30/11/2022,ARI YUSUP,CU05289,PT. HEIN GLOBAL UTAMA,DPHGU00002,LOTTE INDONESIA NEW ETHYLENE COMPLEX PROJECT,"CILEGON, BANTEN    ", ,28MX12A06LNE,900.00 ,862.00 ,7.00,,,,,,,,,,,,,,,,,7.00,,,,,,,,CPS,C6000D,,,
SO03-IDM221000053,1,Y,30/11/2022,ARI YUSUP,CU04892,PT. DUTA USAHA MAKMUR,DPDUM00009,PEKERJAAN PEMBETONAN JALAN CITAYUR PT KRAKATAU BANDAR SAMUDERA,KRAKATAU BANDAR SAMUDERA    , ,45PX07A06J5N,500.00 ,39.00 ,10.00,,,,,,,,,,,,,,,,5.00,5.00,,,,,,,,MANUAL,C4500D,,,
SO03-IDM221000366,1,Y,30/11/2022,ARI YUSUP,CU04892,PT. DUTA USAHA MAKMUR,DPDUM00009,PEKERJAAN PEMBETONAN JALAN CITAYUR PT KRAKATAU BANDAR SAMUDERA,KRAKATAU BANDAR SAMUDERA    , ,15FI12A06XXX,234.00 ,109.00 ,5.00,,,,,,,,,,,,,,,,5.00,,,,,,,,,MANUAL,C4500D,,,
SO03-IDM221100008,1,Y,30/11/2022,ARI YUSUP,CU04892,PT. DUTA USAHA MAKMUR,DPDUM00008,PEKERJAAN PERKERASAN JALAN EXPORT IMPORT PT KRAKATAU BANDAR SAMUDERA,KRAKATAU BANDAR SAMUDERA    , ,40PX07A06JEI,1300.00 ,175.50 ,14.00,,,,,,,,,,,,,,,,,7.00,7.00,,,,,,,MANUAL,C4500D,,,
SO03-IDM221100047,1,Y,30/11/2022,ARI YUSUP,CU04892,PT. DUTA USAHA MAKMUR,DPDUM00008,PEKERJAAN PERKERASAN JALAN EXPORT IMPORT PT KRAKATAU BANDAR SAMUDERA,KRAKATAU BANDAR SAMUDERA    , ,12FI12A06JEI,400.00 ,135.00 ,5.00,,,,,,,,,,,,,,,,,5.00,,,,,,,,MANUAL,C4500D,,,
SO02-IDM221100231,1,Y,30/11/2022,ARI YUSUP,CU05394,PT. GEOFORCE INDONESIA,DPGFI00002,PLTU SURALAYA - CILEGON,BANTEN    , ,30MX10A06R1X,200.00 ,71.00 ,7.00,,,,,,,,,,,,,,,,7.00,,,,,,,,,MANUAL,C0000E,,,
SO02-IDM221100688,1,Y,30/11/2022,ARI YUSUP,CU05274,PT. RAFA KARYA INDONESIA,DPRKI00006,PEKERJAAN PELEBARAN JALAN SEMPU - DUKUH KAWUNG,SERANG PANIMBANG    , ,LCPX12A06XXX,100.00 ,100.00 ,7.00,,,,,,,,,,,,,,,,,,7.00,,,,,,,MANUAL,C0000E,,,
SO03-IDM221100095,1,Y,30/11/2022,ARI YUSUP,CU05143,PT WILMAR NABATI INDONESIA,DPWIL00376,8102418811. FRANCO CILEGON CL SERANG JL RAYA BOJONEGARA KM 5 KAV 162 KEL TERATE,KEC KRAMATWATU SERANG 42161    , ,45RX05A06FSX,436.00 ,235.50 ,7.00,,,,,,,,,,,,,,,,,,,7.00,,,,,,MANUAL,C1400D,,,
SO03-IDM221100094,1,Y,30/11/2022,ARI YUSUP,CU05143,PT WILMAR NABATI INDONESIA,DPWIL00375,8102419040. FRANCO CILEGON CL SERANG JL RAYA BOJONEGARA KM 5 KAV 162 KEL TERATE,KEC KRAMATWATU SERANG 42161    , ,35PX12A06XXX,440.50 ,397.00 ,7.00,,,,,,,,,,,,,,,7.00,,,,,,,,,,MANUAL,C1400D,,,
SO03-IDM221000268,1,Y,30/11/2022,ARI YUSUP,CU05215,KINE PROJECT JO,DPKPJ00010,LINE PROJECT WP2 JL RAYA MERAK KM 116 DESA RAWA ARUM PULOMERAK GEREM,KOTA CILEGON BANTEN 42436    , ,24MX12A06LLP,3000.00 ,74.00 ,7.00,,,,,,,,,,,,,,7.00,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM221100097,1,Y,30/11/2022,ARI YUSUP,CU04481,PT. HANS JAYA UTAMA,DPHJT00005,PT DOOSAN HEAVY INDUSTRIAL-AHF JL RAYA MERAK SURALAYA KEC PULOMERAK,KOTA CILEGON KOMP PLTU JL PLTA LUHUR NO 15 SURALAYA    , ,15MX10A06PS1,150.00 ,77.50 ,7.00,,,,,,,,,,,,,7.00,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM220900317,1,Y,30/11/2022,ARI YUSUP,CU04481,PT. HANS JAYA UTAMA,DPHJT00005,PT DOOSAN HEAVY INDUSTRIAL-AHF JL RAYA MERAK SURALAYA KEC PULOMERAK,KOTA CILEGON KOMP PLTU JL PLTA LUHUR NO 15 SURALAYA    , ,25MX12A06R1X,400.00 ,361.50 ,14.00,,,,,,,,,,,,,,7.00,7.00, ,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM221000262,1,Y,30/11/2022,ARI YUSUP,CU04481,PT. HANS JAYA UTAMA,DPHJT00005,PT DOOSAN HEAVY INDUSTRIAL-AHF JL RAYA MERAK SURALAYA KEC PULOMERAK,KOTA CILEGON KOMP PLTU JL PLTA LUHUR NO 15 SURALAYA    , ,25MX12A06TU2,100.00 ,11.50 ,7.00,,,,,,,,,,,,,,,,7.00,,,,,,,,,MANUAL,C3000D,,,
