S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM210300203,1,Y,30/07/2021,FERDY WIDASMARA,CU04572,PT TOTALINDO EKA PERSADA,DPTBC00022,RUMAH SUSUN CILANGKAP JL RAYA CILANGKAP RT 005 RW 001 CILANGKAP,JAKARTA TIMUR    , ,35MI12A06R1X,800.00 ,7.00,,,,,,,,,,,,,,,,,,,,7.00,7.00,7.00,7.00,7.00,,C9000D,,,
SO08-IDM210700023,1,Y,30/07/2021,FERDY WIDASMARA,CU00358,PT  WASKITA KARYA (PERSERO) TBK,DPWKA00038,APARTEMENT SOLTERRA PEJATEN BARAT JAKARTA SELATAN,JAKARTA SELATAN    , ,35FD12A06ASP,6.00 ,3.00,,,,,,,,,3.00,,,,,,,,,,,,,,,,,C3000D,,,
SO08-IDM210700024,1,Y,30/07/2021,FERDY WIDASMARA,CU00358,PT  WASKITA KARYA (PERSERO) TBK,DPWKA00038,APARTEMENT SOLTERRA PEJATEN BARAT JAKARTA SELATAN,JAKARTA SELATAN    , ,40FD12A06ASP,6.00 ,3.00,,,,,,,,,3.00,,,,,,,,,,,,,,,,,C3000D,,,
SO08-IDM210700025,1,Y,30/07/2021,FERDY WIDASMARA,CU00358,PT  WASKITA KARYA (PERSERO) TBK,DPWKA00038,APARTEMENT SOLTERRA PEJATEN BARAT JAKARTA SELATAN,JAKARTA SELATAN    , ,45FD12A06ASP,6.00 ,3.00,,,,,,,,,,3.00,,,,,,,,,,,,,,,,C3000D,,,
SO08-IDM210700026,1,Y,30/07/2021,FERDY WIDASMARA,CU00358,PT  WASKITA KARYA (PERSERO) TBK,DPWKA00038,APARTEMENT SOLTERRA PEJATEN BARAT JAKARTA SELATAN,JAKARTA SELATAN    , ,50FD12A06ASP,6.00 ,3.00,,,,,,,,,,3.00,,,,,,,,,,,,,,,,C3000D,,,
