S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Order Qty.,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,
PLANT: R01JAT - Jati Asih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO11-IDM221100002,1,Y,15/01/2023,FERDY WIDASMARA,CI00004,PT MOTIVE MULIA,CIMTM00411,REKONSTRUKSI PERKERASAN PERKERASAN PADA RUAS JALAN TOL JORR RUAS E1 E2 E3 W2S,JALUR A DAN ULUJAMI - PONDOK RANJI JALUR B TAHUN 2022    , ,BC25XXA06JOR,200.00 ,79.00 ,7.00,,,,,,,,,,,,,,,,,,,,,7.00,,,,MANUAL,C9000D,,,
SO11-IDM221000004,1,Y,15/01/2023,FERDY WIDASMARA,CI00004,PT MOTIVE MULIA,CIMTM00426,REKONSTRUKSI PERKERASAN JALAN TOL JORR-S KM 19+500 - KM 33+800,JORR-S    , ,VCTB,641.55 ,308.55 ,7.00,,,,,,,,,,,,,,,,,,,,,7.00,,,,MANUAL,C3000C,,,
SO11-IDM221000003,1,Y,15/01/2023,FERDY WIDASMARA,CI00004,PT MOTIVE MULIA,CIMTM00426,REKONSTRUKSI PERKERASAN JALAN TOL JORR-S KM 19+500 - KM 33+800,JORR-S    , ,BC25XXA06JOR,641.55 ,525.35 ,7.00,,,,,,,,,,,,,,,,,,,,,,7.00,,,MANUAL,C3000C,,,
SO21-IDM221000013,1,Y,15/01/2023,FERDY WIDASMARA,CU01857,PT HAKAASTON,DPHKS00013,REKONSTRUKSI PERKERASAN JALAN TOL JORR-S KM 19+500 - KM 33+800,JORR-S    , ,VIPER45-03,641.55 ,270.45 ,7.00,,,,,,,,,,,,,,,,,,,,,7.00,,,,MANUAL,C9000D,,,
SO21-IDM221200005,1,Y,15/01/2023,FERDY WIDASMARA,CU04677,PT. MITRA SETYA UTAMA,DPMSU00047,PROYEK RAMP G DAN H JL AL HIDAYAH NO 108 RT 7 RW 02 JATIRANGON JATISAMPURNA,KOTA BEKASI    , ,VIPER45-3D,1100.00 ,394.50 ,7.00,,,,,,,,,,,,,,,,,,,,,,,7.00,,MANUAL,C9000D,,,
SO02-IDM230100114,1,Y,15/01/2023,FERDY WIDASMARA,CU05377,PT. KAPEZTA MULTI MANDIRI,DPKMM00011,PROYEK CLUSTER Z LIVING GRAND WISATA,BEKASI TIMUR    , ,40FI10A06XXX,55.00 ,27.00 ,14.00,,,,,,,,,,,7.00,7.00,,,,,,,,,,,,,MANUAL,C0000E,,,
SO02-IDM230100158,1,Y,15/01/2023,FERDY WIDASMARA,CU05377,PT. KAPEZTA MULTI MANDIRI,DPKMM00011,PROYEK CLUSTER Z LIVING GRAND WISATA,BEKASI TIMUR    , ,40FI12A06XXX,109.00 ,109.00 ,14.00,,,,,,,,,,,,,7.00,7.00,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM221200279,1,Y,15/01/2023,HERI KUSWANTO,CU02632,PT KIRANA KURNIA KREASI,DPKKI00022,PERUM GRAND WISATA CLUSTER Z-LIVING BLOK EF7 EF9 EF10,BEKASI    , ,LCFU12A06XXX,146.00 ,48.00 ,14.00,,,,,,,,,7.00,7.00,,,,,,,,,,,,,,,MANUAL,C4500D,,,
