S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Order Qty.,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,
PLANT: R01JAT - Jati Asih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO11-IDM230300001,1,Y,23/05/2023,FERDY WIDASMARA,CI00004,PT MOTIVE MULIA,CIMTM00433,PEKERJAAN PEMELIHARAAN PERIODIK (SFO) DAN REKONSTRUKSI PERKERASAN PADA JALAN TOL,JORR RUAS E1 E2 E3 W2S JALUR A DAN ULUJAMI PONDOK AREN JALUR B - 2023    , ,BC25XXA06JOR,900.00 ,544.20 ,6.00,,,,,,,,,,,,,,,,,,,,,,,,6.00,MANUAL,C3000C,,,
SO11-IDM230400004,1,Y,23/05/2023,FERDY WIDASMARA,CI00004,PT MOTIVE MULIA,CIMTM00434,RUAS JORR SEKSI E1 E2 E3 W2S JALUR B DAN ULUJAMI - PONDOK AREN JALUR A,JORR (MARGA MAJU MAPAN)    , ,BC25XXA06JOR,100.00 ,50.50 ,6.00,,,,,,,,,,,,,,,,,,,6.00,,,,,,MANUAL,C3000C,,,
SO21-IDM230300005,1,Y,23/05/2023,FERDY WIDASMARA,CU05252,PT. MARGA MAJU MAPAN,DPMMP00008,RUAS JORR SEKSI E1 E2 E3 W2S JALUR B DAN ULUJAMI - PONDOK AREN JALUR A,JORR    , ,VIPER45-03,556.50 ,253.85 ,6.00,,,,,,,,,,,,,,,,,,,,,,6.00,,,MANUAL,C3000D,,,
SO21-IDM230400003,1,Y,23/05/2023,FERDY WIDASMARA,CU05252,PT. MARGA MAJU MAPAN,DPMMP00009,PEKERJAAN PEMELIHARAAN PERIODIK SCRAPPING FILLING OVERLAY (SFO) & REKONSTRUKSI,PERKERASAN PADA RUAS JORR SEKSI E1 E2 E3 W2S JALUR B DAN ULUJAMI - PONDOK AREN JALUR A TH 2023    , ,VIPER45-06,121.50 ,102.30 ,6.00,,,,,,,,,,,,,,,,,,,,,,,6.00,,MANUAL,C3000D,,,
SO21-IDM230400004,1,Y,23/05/2023,FERDY WIDASMARA,CU05252,PT. MARGA MAJU MAPAN,DPMMP00009,PEKERJAAN PEMELIHARAAN PERIODIK SCRAPPING FILLING OVERLAY (SFO) & REKONSTRUKSI,PERKERASAN PADA RUAS JORR SEKSI E1 E2 E3 W2S JALUR B DAN ULUJAMI - PONDOK AREN JALUR A TH 2023    , ,VIPER45-3D,100.00 ,45.19 ,6.00,,,,,,,,,,,,,,,,,,,,,,,,6.00,MANUAL,C3000D,,,
SO21-IDM230300002,1,Y,23/05/2023,FERDY WIDASMARA,CU01222,PT. MULTI KARYA CEMERLANG,DPMKC00005,PEKERJAAN PEMELIHARAAN PERIODIK (SFO) DAN REKONSTRUKSI PERKERASAN PADA JALAN TOL,JORR RUAS E1 E2 E3 W2S JALUR A DAN ULUJAMI PONDOK AREN JALUR B - 2023    , ,VIPER45-03,630.00 ,259.68 ,12.00,,,,,,,,,,,,,,,,,,,,6.00,6.00,,,,MANUAL,C1400D,,,
SO21-IDM230300003,1,Y,23/05/2023,FERDY WIDASMARA,CU01222,PT. MULTI KARYA CEMERLANG,DPMKC00005,PEKERJAAN PEMELIHARAAN PERIODIK (SFO) DAN REKONSTRUKSI PERKERASAN PADA JALAN TOL,JORR RUAS E1 E2 E3 W2S JALUR A DAN ULUJAMI PONDOK AREN JALUR B - 2023    , ,VIPER45-06,110.00 ,110.00 ,12.00,,,,,,,,,,,,,,,,,,,,,6.00,6.00,,,MANUAL,C1400D,,,
SO21-IDM230400009,1,Y,23/05/2023,FERDY WIDASMARA,CU01857,PT HAKAASTON,DPHKS00013,REKONSTRUKSI PERKERASAN JALAN TOL JORR-S KM 19+500 - KM 33+800,JORR-S    , ,VIPER45-03,142.00 ,78.30 ,12.00,,,,,,,,,,,,,,,,,,,,6.00,6.00,,,,MANUAL,C9000D,,,
SO11-IDM230500001,1,Y,23/05/2023,FERDY WIDASMARA,CI00004,PT MOTIVE MULIA,CIMTM00426,REKONSTRUKSI PERKERASAN JALAN TOL JORR-S KM 19+500 - KM 33+800,JORR-S    , ,BC25XXA06JOR,200.00 ,186.50 ,7.00,,,,,,,,,,,,,,,,,,7.00,,,,,,,MANUAL,C3000C,,,
SO11-IDM230500002,1,Y,23/05/2023,FERDY WIDASMARA,CI00004,PT MOTIVE MULIA,CIMTM00426,REKONSTRUKSI PERKERASAN JALAN TOL JORR-S KM 19+500 - KM 33+800,JORR-S    , ,VCTB,200.00 ,141.30 ,12.00,,,,,,,,,,,,,,,,,,,,,,6.00,6.00,,MANUAL,C3000C,,,
SO02-IDM230500072,1,Y,23/05/2023,HERI KUSWANTO,CU05646,PT. ANGKASA WASTU PRATAMA,DPAWP00002,GUDANG CIANGSANA JL RAYA CIANGSANA KP PABUARAN SEBELAH SDN 2 CIANGSANA,BOGOR    , ,25FV12A06XXX,125.00 ,48.00 ,48.00,,,,,,,,7.00,21.00,20.00,,,,,,,,,,,,,,,CPS,C0000E,,,
SO02-IDM230500238,1,Y,23/05/2023,HERI KUSWANTO,CU05646,PT. ANGKASA WASTU PRATAMA,DPAWP00002,GUDANG CIANGSANA JL RAYA CIANGSANA KP PABUARAN SEBELAH SDN 2 CIANGSANA,BOGOR    , ,25FV12A06XXX,65.00 ,65.00 ,65.00,,,,,,,,,, ,14.00,21.00,21.00,9.00,,,,,,,,,,,CPS,C0000E,,,
SO02-IDM230500243,1,Y,23/05/2023,DEDE JUNAEDI,CU05695,PT. PUBLIC INDO READYMIX,DPPIR00002,LOCO. PT WIRA AGUNG MANDIRI JL KEMAKMURAN NO 15 BEKASI SELATAN,BEKASI    , ,30BX18A06XXX,2.50 ,2.50 ,2.50,,,,,,,,2.50,,,,,,,,,,,,,,,,,MINIMIX,C0000E,,,
SO03-IDM230500050,1,Y,23/05/2023,HERI KUSWANTO,CU02666,PT JAYA TEKNIK PONDASI,DPJTP00003,WORKSHOP JAYA TEKNIK PONDASI. JL CARINGIN NO 149 KAMPUNG RAWA ROKO,BOJONG RAWA LUMBU BEKASI    , ,50PX12A06PTP,70.00 ,20.00 ,20.00,,,,,,,,,,5.00,5.00,5.00,5.00,,,,,,,,,,,,MANUAL,C4500D,,,
SO03-IDM230500093,1,Y,23/05/2023,HERI KUSWANTO,CU02632,PT KIRANA KURNIA KREASI,DPKKI00027,PERUM GRAND WISATA - LEMONADE BLOK CC11 CC16,BEKASI    , ,22FI12A06XXX,70.00 ,49.00 ,14.00,,,,,,,,7.00,7.00,,,,,,,,,,,,,,,,MANUAL,C4500D,,,
SO03-IDM230500109,1,Y,23/05/2023,HERI KUSWANTO,CU05614,PT. PRIMUS SANUS COOKING OIL INDUSTRIAL (PT. PRISCOLIN),DPPSC00005,"1012006127. UTK PERBAIKAN JALAN DEKAT TIMBANGAN BELAKANG UKURAN 7X7,85 MTR",FRANCO BEKASI    , ,25PX12A06XXX,6.00 ,6.00 ,6.00,,,,,,,,,,,6.00,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM230400007,1,Y,23/05/2023,FERDY WIDASMARA,CU00211,PT IKAGRIYA DARMAPERSADA,DPIDA00283,MC4. CLUSTER DANISA JL TERADAMAI SRIAMUR TAMBUN UTARA,BEKASI    , ,LCFI12A06XXX,200.00 ,151.00 ,7.00,,,,,,,,,,7.00,,,,,,,,,,,,,,,MANUAL,C6000C,,,
SO02-IDM230500254,1,Y,23/05/2023,FERDY WIDASMARA,CU05520,PT. DIAN JAYA PERTIWI,DPDJP00002,PERUMAHAN ASANA RESIDENCE CIBUBUR JL BARU AKSES TOL CIMANGGIS NAGRAK KPKADUPUGUR,DESA CIKEAS UDIK KEC GN PUTRI KAB BOGOR JAWA BARAT (DEPAN MASJID ASH SHIDIQ)    , ,17FV12A06XXX,13.00 ,13.00 ,13.00,,,,,,,,7.00,6.00,,,,,,,,,,,,, , ,,MANUAL,C0000E,,,
SO02-IDM230500261,1,Y,23/05/2023,HERI KUSWANTO,CU03082,CV. BANSAL TEKNIK SEJAHTERA,DPBTS00026,WORKSHOP CV BANSAL TEKNIK SEJAHTERA JL BENDA LAYUNGSARI KAV 7 RT 001 RW 003,KEL CIKIWUL BANTAR GEBANG BEKASI    , ,22FV12A06XXX,7.00 ,7.00 ,7.00,,,,,,,,,,,,,,7.00,,,,,,,,,,,MANUAL,C0000E,,,
