S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Order Qty.,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,
PLANT: R01JAT - Jati Asih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO02-IDM220800350,1,Y,15/08/2022,HERI KUSWANTO,CU04485,PT. INDOPRECAST MITRA KARYA,DPIPM00009,RUMAH TINGGAL NASHVILE BLOK TD7 NO 1 KOTA WISATA,KOTA WISATA    , ,25FN12A06XXX,14.00 ,14.00 ,14.00,,,,,,,,,,7.00,7.00,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO02-IDM220800346,1,Y,15/08/2022,HERI KUSWANTO,CU04956,PT. MITRA BANGUN CIPTA,DPMBC00006,CLUSTER WATER TERRACE GRAND WISATA LAMBANGSARI - TAMBUN,BEKASI    , ,22FI12A06XXX,48.00 ,48.00 ,48.00,,,,,,,,14.00,21.00,13.00,,,,,,,,,,,,,,,CPS,C0000E,,,
SO03-IDM220800133,1,Y,15/08/2022,HERI KUSWANTO,CU04598,PT. MITRA PRATAMA MANDIRI JAYA PERKASA,DPMPJ00009,PT MONI 1 - BEKASI,BEKASI    , ,25PX12A06XXX,50.00 ,50.00 ,35.00,,,,,,,,7.00,7.00,7.00,7.00,7.00,,,,,,,,,,,,,MANUAL,C3000A,,,
SO02-IDM220700171,1,Y,15/08/2022,HERI KUSWANTO,CU05204,ABIPRAYA-DAKA KSO,DPADK00006,PROYEK PENGENDALIAN BANJIR KALI BEKASI PAKET 7,BEKASI    , ,30BX18A06R1X,350.00 ,44.00 ,20.00,,,,,,,,,,7.00,7.00,6.00,,,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM220800183,1,Y,15/08/2022,FERDY WIDASMARA,CU02347,PT ADDEL CIPTA GRAHA,DPACG00049,PEMBANGUNAN 1 UNIT RUMAH CONTOH TIPE VERANDA (245/217) DI BLOK AA BOULEVARD NO 5,DI PERUMAHAN CITRAGRAN CIBUBUR    , ,22FN12A06XXX,25.50 ,25.50 ,25.00,,,,,,,,14.00,11.00,,,,,,,,,,,,,,,,CPS,C3000D,,,
SO02-IDM220800218,1,Y,15/08/2022,FERDY WIDASMARA,CU05317,PT. GLOBAL SOLUSI TEKNINDO,DPGST00331,12000609. PT GLOBAL SOLUSI TEKNINDO JL. CIPENDAWA BARU NO.288 KELURAHAN BOJONG,"MENTENG KECAMATAN RAWALUMBU, KOTA BEKASI    ", ,BC25XXA11XXX,32.00 ,11.00 ,7.00,,,,,,,,,,,7.00,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO02-IDM220800258,1,Y,15/08/2022,FERDY WIDASMARA,CU05317,PT. GLOBAL SOLUSI TEKNINDO,DPGST00332,12000610. PT GLOBAL SOLUSI TEKNINDO JL. CIPENDAWA BARU NO.288 KELURAHAN BOJONG,"MENTENG KECAMATAN RAWALUMBU, KOTA BEKASI    ", ,BC14XXC11XXX,21.00 ,7.00 ,7.00,,,,,,,,,,,,,7.00,,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM220600272,1,Y,14/08/2022,FERDY WIDASMARA,CU00827,PT DELTA BAJA MASA,DPDBM00024,037 - KIAT ANANDA PANGKALAN 6 BEKASI,BEKASI    , ,35PX12A06XXX,1000.00 ,1000.00 ,100.00,,,,,,,,14.00,21.00,14.00,21.00,14.00,16.00,,,,,,,,,,,,CPS,C3000D,,,
SO02-IDM220800342,1,Y,14/08/2022,FERDY WIDASMARA,CU04337,PT. BAHTERA MADYA UTAMA,DPBMU00002,"PT UNIVERSAL AGRI BISNISINDO. JL RAYA NAROGONG KM 13,5 BANTAR GEBANG",BEKASI    , ,30PX12A06XXX,60.00 ,60.00 ,60.00,,,,,,,,14.00,14.00,14.00,14.00,4.00,,,,,,,,,,,,,CPS,C0000E,,,
SO02-IDM220800340,1,Y,14/08/2022,NANDANG PRIATNA,CT04555,BP TASDAM (NIK 3329172611780001),DRTAS00014,PENINGKATAN JL KP PASAR LAMA RT 05/21 DESA SEGARAJAYA KEC TARUMAJAYA,KAB BEKASI    , ,35PX12A06XXX,70.00 ,70.00 ,14.00,,,,,,,,,,,,,,,,,7.00,7.00,,,,,,,MANUAL,C0000E,,,
SO02-IDM220800369,1,Y,14/08/2022,HERI KUSWANTO,CU04485,PT. INDOPRECAST MITRA KARYA,DPIPM00010,PT MISENO PRISMA KARYA JL RAYA NAROGONG KM 16 LIMUS NUNGGAL,CILEUNGSI    , ,30PX12A06XXX,15.00 ,15.00 ,15.00,,,,,,,,15.00,,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO02-IDM220700171,1,Y,14/08/2022,HERI KUSWANTO,CU05204,ABIPRAYA-DAKA KSO,DPADK00006,PROYEK PENGENDALIAN BANJIR KALI BEKASI PAKET 7,BEKASI    , ,30BX18A06R1X,350.00 ,44.00 ,44.00,,,,,,,,,,,,14.00,14.00,14.00,2.00,,,,,,,,,,MANUAL,C0000E,,,
