S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Order Qty.,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,
PLANT: R01JAT - Jati Asih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM220500103,1,Y,15/06/2022,FERDY WIDASMARA,CU05088,PT. ROADMIXINDO RAYA,DPRMR00002,PEKERJAAN PEMELIHARAAN PERIODIK DAN REKONSTRUKSI PERKERASAN RUAS JALAN TOL JORR,SEKSI W2 UTARA JALUR A DAN B TAHUN 2022    , ,VIPER45-06,140.00 ,32.75 ,12.00,,,,,,,,,,,,,,,,,,,,,,6.00,6.00,,MANUAL,C6000D,,,
SO03-IDM220400323,1,Y,15/06/2022,DEDE JUNAEDI,CU01222,PT MULTI KARYA CEMERLANG,DPMKC00003,PEKERJAAN PEMELIHARAAN PERIODIK (SFO) DAN REKONSTRUKSI PERKERASAN PADA JALAN TOL,JORR RUAS E1 E2 E3 W2S JALUR B DAN ULUJAMI PONDOK AREN JALUR 1    , ,VIPER45-03,813.75 ,489.35 ,12.00,,,,,,,,,,,,,,,,,,,,,,,6.00,6.00,MANUAL,C1400D,,,
SO11-IDM220400001,1,Y,15/06/2022,FERDY WIDASMARA,CI00004,PT MOTIVE MULIA,CIMTM00411,REKONSTRUKSI PERKERASAN PERKERASAN PADA RUAS JALAN TOL JORR RUAS E1 E2 E3 W2S,JALUR A DAN ULUJAMI - PONDOK RANJI JALUR B TAHUN 2022    , ,BC25XXA06JOR,819.00 ,397.70 ,7.00,,,,,,,,,,,,,,,,,,,,7.00,,,,,MANUAL,C3000C,,,
SO03-IDM220400112,1,Y,15/06/2022,FERDY WIDASMARA,CU02126,PT KADI INTERNATIONAL,DPKII00008,REKONSTRUKSI PERKERASAN PERKERASAN PADA RUAS JALAN TOL JORR RUAS E1 E2 E3 W2S,JALUR A DAN ULUJAMI - PONDOK RANJI JALUR B TAHUN 2022    , ,VIPER45-03,819.00 ,542.60 ,7.00,,,,,,,,,,,,,,,,,,,,,,,,7.00,MANUAL,C3000D,,,
SO11-IDM220400002,1,Y,15/06/2022,FERDY WIDASMARA,CI00004,PT MOTIVE MULIA,CIMTM00411,REKONSTRUKSI PERKERASAN PERKERASAN PADA RUAS JALAN TOL JORR RUAS E1 E2 E3 W2S,JALUR A DAN ULUJAMI - PONDOK RANJI JALUR B TAHUN 2022    , ,BC25XXA06JOR,813.75 ,780.75 ,7.00,,,,,,,,,,,,,,,,,,,,,,,,7.00,MANUAL,C3000C,,,
SO02-IDM220600203,1,Y,15/06/2022,FERDY WIDASMARA,CU02923,PT CHAREDO JAYA,DPCOJ00002,PERUMAHAN SAKURA REGENNCY 3 JL JATIMULYA,BEKASI TIMUR    , ,22FU12A06XXX,7.00 ,7.00 ,7.00,,,,,,,,7.00,,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM220600094,1,Y,15/06/2022,HERI KUSWANTO,CU04497,CV. SURYA PRATAMA INDONESIA,DPSPT00012,CBD CIBUBUR,CIBUBUR    , ,22PX12A06XXX,80.00 ,80.00 ,12.00,,,,,,,,,,12.00,,,,,,,,,,,,,,,CPS,C3000D,,,
SO03-IDM220500166,1,Y,15/06/2022,HERI KUSWANTO,CU02666,PT JAYA TEKNIK PONDASI,DPJTP00003,WORKSHOP JAYA TEKNIK PONDASI. JL CARINGIN NO 149 KAMPUNG RAWA ROKO,BOJONG RAWA LUMBU BEKASI    , ,50PX12A06PTP,70.00 ,15.00 ,14.00,,,,,,,,,,7.00,7.00,,,,,,,,,,,,,,MANUAL,C4500D,,,
SO02-IDM220600073,1,Y,15/06/2022,HERI KUSWANTO,CU05204,ABIPRAYA-DAKA KSO,DPADK00006,PROYEK PENGENDALIAN BANJIR KALI BEKASI PAKET 7,BEKASI    , ,30BX18A06R1X,140.00 ,30.50 ,20.00,,,,,,,,7.00,7.00,6.00,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM220500098,1,Y,15/06/2022,HERI KUSWANTO,CU05181,PT. PERUSAHAAN PERSEROAN (PERSERO) PT. HUTAMA KARYA,DPHAK00018,STRUKTUR PARKIR (ELEVATED) TAMAN MINI INDONESIA INDAH (TMII),JAKARTA    , ,LCPX12A06XXX,353.95 ,314.95 ,7.00,,,,,,,,,7.00,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM220500099,1,Y,15/06/2022,HERI KUSWANTO,CU05181,PT. PERUSAHAAN PERSEROAN (PERSERO) PT. HUTAMA KARYA,DPHAK00018,STRUKTUR PARKIR (ELEVATED) TAMAN MINI INDONESIA INDAH (TMII),JAKARTA    , ,30MX12A06TMI,1385.00 ,837.00 ,10.00,,,,,,,,,,,7.00,3.00,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM220600130,1,Y,15/06/2022,HERI KUSWANTO,CU02958,PT ALVINDO BANGUN SARANA MANDIRI,DPABS00086,RUMAH CONTOH WATER TERRACE. PERUMAHAN GRAND WISATA TAMBUN,BEKASI    , ,22FI12C06XXX,35.00 ,21.00 ,7.00,,,,,,,,,,,7.00,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO02-IDM220600218,1,Y,15/06/2022,FERDY WIDASMARA,CU05097,PT. BOJONG INDAH MANDIRI,DPBJM00008,PERUM METLAND CILEUNGSI KAB BOGOR,JAWA BARAT    , ,25FN12A06XXX,8.50 ,8.50 ,8.50,,,,,,,,7.00,1.50,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM220500125,1,Y,15/06/2022,FERDY WIDASMARA,CU04492,PT. PEMBANGUNAN PERUMAHAN (PESERO) TBK,DPPPV00003,RENOVASI KAWASAN TMII JAKARTA,JAKARTA    , ,LCPX12A06XXX,121.00 ,102.00 ,5.00,,,,,,,,,,,,5.00,,,,,,,,,,,,,MANUAL,C3000D,,,
SO02-IDM220600213,1,Y,15/06/2022,FERDY WIDASMARA,CU05207,PT. BATJUN MITRA KARYA,DPBMK00008,PROYEK SMPN 230. JALAN TPU PONDOK RANGGON RT 1 RW 2 PONDOK RANGGON CIPAYUNG,"RT 1 RW 2 PD RANGGON KEC CIPAYUNG KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13860    ", ,30FN12A06GAP,50.00 ,50.00 ,50.00,,,,,,,,,,,,,,,,,21.00,14.00,15.00,,,,,,CPS,C0000E,,,
SO03-IDM220400671,1,Y,15/06/2022,FERDY WIDASMARA,CU00306,PT PUTRI INTAN ANUGERAH,DPPAH00040,089 - CLS BOTANY HILL FATMAWATI CITY CENTER CILANDAK BARAT,JAKARTA SELATAN    , ,17FI12A06R1X,189.00 ,67.50 ,10.00,,,,,,,,,,,,,,7.00,3.00,,,,,,,,,,MANUAL,C3000C,,,
SO03-IDM220500126,1,Y,15/06/2022,FERDY WIDASMARA,CU04492,PT. PEMBANGUNAN PERUMAHAN (PESERO) TBK,DPPPV00003,RENOVASI KAWASAN TMII JAKARTA,JAKARTA    , ,30PX12A06TMI,500.00 ,100.00 ,25.00,,,,,,,,,,,,,7.00,7.00,7.00,4.00,,,,,,,,,MANUAL,C3000D,,,
