S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Order Qty.,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,
PLANT: R01JAT - Jati Asih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM220400435,1,Y,20/05/2022,FERDY WIDASMARA,CU05088,PT. ROADMIXINDO RAYA,DPRMR00002,PEKERJAAN PEMELIHARAAN PERIODIK DAN REKONSTRUKSI PERKERASAN RUAS JALAN TOL JORR,SEKSI W2 UTARA JALUR A DAN B TAHUN 2022    , ,VIPER45-06,140.00 ,41.50 ,12.00,,,,,,,,,,,,,,,,,,,,,,6.00,6.00,,MANUAL,C6000D,,,
SO03-IDM220400671,1,Y,20/05/2022,FERDY WIDASMARA,CU00306,PT PUTRI INTAN ANUGERAH,DPPAH00040,089 - CLS BOTANY HILL FATMAWATI CITY CENTER CILANDAK BARAT,JAKARTA SELATAN    , ,17FI12A06R1X,189.00 ,154.00 ,10.00,,,,,,,,7.00,3.00,,,,,,,,,,,,,,,,MANUAL,C3000C,,,
SO11-IDM220400001,1,Y,20/05/2022,FERDY WIDASMARA,CI00004,PT MOTIVE MULIA,CIMTM00411,REKONSTRUKSI PERKERASAN PERKERASAN PADA RUAS JALAN TOL JORR RUAS E1 E2 E3 W2S,JALUR A DAN ULUJAMI - PONDOK RANJI JALUR B TAHUN 2022    , ,BC25XXA06JOR,819.00 ,585.10 ,7.00,,,,,,,,,,,,,7.00,,,,,,,,,,,,MANUAL,C3000C,,,
SO11-IDM220400002,1,Y,20/05/2022,FERDY WIDASMARA,CI00004,PT MOTIVE MULIA,CIMTM00411,REKONSTRUKSI PERKERASAN PERKERASAN PADA RUAS JALAN TOL JORR RUAS E1 E2 E3 W2S,JALUR A DAN ULUJAMI - PONDOK RANJI JALUR B TAHUN 2022    , ,BC25XXA06JOR,813.75 ,813.75 ,7.00,,,,,,,,,,,,,,7.00,,,,,,,,,,,MANUAL,C3000C,,,
SO03-IDM220500018,1,Y,20/05/2022,HERI KUSWANTO,CU02666,PT JAYA TEKNIK PONDASI,DPJTP00003,WORKSHOP JAYA TEKNIK PONDASI. JL CARINGIN NO 149 KAMPUNG RAWA ROKO,BOJONG RAWA LUMBU BEKASI    , ,50PX12A06PTP,70.00 ,35.00 ,20.00,,,,,,,,,,,,,7.00,7.00,6.00,,,,,,,,,,MANUAL,C4500D,,,
SO03-IDM220400323,1,Y,20/05/2022,DEDE JUNAEDI,CU01222,PT MULTI KARYA CEMERLANG,DPMKC00003,PEKERJAAN PEMELIHARAAN PERIODIK (SFO) DAN REKONSTRUKSI PERKERASAN PADA JALAN TOL,JORR RUAS E1 E2 E3 W2S JALUR B DAN ULUJAMI PONDOK AREN JALUR 1    , ,VIPER45-03,813.75 ,719.65 ,6.00,,,,,,,,,,,,,,,,,,,,,,6.00,,,MANUAL,C1400D,,,
SO03-IDM220400112,1,Y,20/05/2022,FERDY WIDASMARA,CU02126,PT KADI INTERNATIONAL,DPKII00008,REKONSTRUKSI PERKERASAN PERKERASAN PADA RUAS JALAN TOL JORR RUAS E1 E2 E3 W2S,JALUR A DAN ULUJAMI - PONDOK RANJI JALUR B TAHUN 2022    , ,VIPER45-03,819.00 ,693.20 ,6.00,,,,,,,,,,,,,,,,,,,,,,,6.00,,MANUAL,C3000D,,,
SO02-IDM220500062,1,Y,20/05/2022,FERDY WIDASMARA,CU01337,PT GEWINN GOLD HOTAMA,DPGGH00003,PT UNIVERSAL AGRI,BEKASI    , ,30PX12A06XXX,4.00 ,4.00 ,4.00,,,,,,,,4.00,,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM220400197,1,Y,20/05/2022,FERDY WIDASMARA,CU04660,PT. PRIMA SOLUSI INTEGRA,DPPSI00058,12001393. PT PRIMA SOLUSI INTEGRA GUDANG JL CIPENDAWA BARU NO 288 KEC RAWALUMBU,KOTA BEKASI    , ,BC25XXA11XXX,173.00 ,103.00 ,7.00,,,,,,,,,,7.00,,,,,,,,,,,,,,,MANUAL,C3000D,,,
