S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM210300136,1,Y,12/08/2021,MUHAMMAD RIZAL,CU00916,PT ANUGERAH BERKAT MANDIRI,DPABM00022,CLUSTER NARRA VILLAGE PARMOUNT GADING SERPONG,SERPONG    , ,22FI12A06XXX,79.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,C3000C,,,
SO03-IDM210300137,1,Y,12/08/2021,MUHAMMAD RIZAL,CU00916,PT ANUGERAH BERKAT MANDIRI,DPABM00022,CLUSTER NARRA VILLAGE PARMOUNT GADING SERPONG,SERPONG    , ,17FI12A06XXX,94.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,C3000C,,,
SO03-IDM210300138,1,Y,12/08/2021,MUHAMMAD RIZAL,CU02608,PT TARUNA BANGUN MANDIRI,DPTBM00042,PAGAR PRIMETER KAWASAN TABEBUYA,JL BSD RAYA BARAT    , ,30FI12A06XXX,2.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,C3000D,,,
SO03-IDM210300199,1,Y,12/08/2021,MUHAMMAD RIZAL,CU02010,PT ASRI GRAHA MAKMUR,DPAGM00012,CLUSTER ZUMA MALIBU VILLAGE PARAMOUNT GADING SERPONG,SERPONG    , ,22FI12A06XXX,39.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,C3000D,,,
SO11-IDM210400001,1,Y,12/08/2021,FAJAR TIRTASARI BAHRI,CI00004,PT MOTIVE MULIA,CIMTM00383,PERLUASAN AREA STOCK PILE PLANT CISAUK,CISAUK    , ,25FI12A06XXX,71.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,C3000C,,,
SO03-IDM210400160,1,Y,12/08/2021,MUHAMMAD RIZAL,CU00916,PT ANUGERAH BERKAT MANDIRI,DPABM00025,RUKO PISA GRANDE BLOK E PARAMOUNT GADING SERPONG,TANGERANG    , ,22FI12A06XXX,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,C3000C,,,
SO03-IDM210400161,1,Y,12/08/2021,MUHAMMAD RIZAL,CU00916,PT ANUGERAH BERKAT MANDIRI,DPABM00025,RUKO PISA GRANDE BLOK E PARAMOUNT GADING SERPONG,TANGERANG    , ,17FI12A06XXX,160.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,C3000C,,,
SO03-IDM210400181,1,Y,12/08/2021,MUHAMMAD RIZAL,CU00211,PT IKAGRIYA DARMAPERSADA,DPIDA00246,BSD21. RUKO ICE BUSINESS BLOK E DEPAN ICE BSD CITY,TANGERANG    , ,20MX12A06XXX,140.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,C3000C,,,
SO03-IDM210400171,1,Y,12/08/2021,MUHAMMAD RIZAL,CU02010,PT ASRI GRAHA MAKMUR,DPAGM00013,RUKO PISA GRANDE DEPAN RUKO SORRENTO JUNCTION PARAMOUNT,GADING SERPONG    , ,22FI12A06XXX,201.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,C3000D,,,
SO03-IDM210400198,1,Y,12/08/2021,MUHAMMAD RIZAL,CU00349,PT TUNAS BANGUN GRIYA ASRI,DPTBG00026,BSD INVESIHAUSS CLUSTER TABEBUYA BLOK B1 DAN B2,BSD    , ,17FI12A06XXX,50.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,C3000D,,,
SO03-IDM210400199,1,Y,12/08/2021,MUHAMMAD RIZAL,CU00349,PT TUNAS BANGUN GRIYA ASRI,DPTBG00026,BSD INVESIHAUSS CLUSTER TABEBUYA BLOK B1 DAN B2,BSD    , ,22FI12A06XXX,186.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,C3000D,,,
SO03-IDM210400200,1,Y,12/08/2021,MUHAMMAD RIZAL,CU00349,PT TUNAS BANGUN GRIYA ASRI,DPTBG00026,BSD INVESIHAUSS CLUSTER TABEBUYA BLOK B1 DAN B2,BSD    , ,30FI12A06XXX,11.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,C3000D,,,
SO03-IDM210400249,1,Y,12/08/2021,MUHAMMAD RIZAL,CU00223,PT JUTA KHARISMA MANDIRI,DPJKM00110,ICE BUSINESS PARK TAHAP 2 BLOK G NO 1-17,BSD CITY    , ,20MX12A06XXX,275.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,C3000C,,,
SO03-IDM210400261,1,Y,12/08/2021,MUHAMMAD RIZAL,CU00223,PT JUTA KHARISMA MANDIRI,DPJKM00111,CLUSTER INVENSIHAUS BLOK B3 & BLOK B5 TABEBUYA VANYA PARK,BSD CITY    , ,22PX12A06XXX,194.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,C3000C,,,
SO03-IDM210400262,1,Y,12/08/2021,MUHAMMAD RIZAL,CU00223,PT JUTA KHARISMA MANDIRI,DPJKM00111,CLUSTER INVENSIHAUS BLOK B3 & BLOK B5 TABEBUYA VANYA PARK,BSD CITY    , ,30PX12A06XXX,32.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,C3000C,,,
SO03-IDM210400263,1,Y,12/08/2021,MUHAMMAD RIZAL,CU00223,PT JUTA KHARISMA MANDIRI,DPJKM00111,CLUSTER INVENSIHAUS BLOK B3 & BLOK B5 TABEBUYA VANYA PARK,BSD CITY    , ,17PX12A06XXX,39.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,C3000C,,,
SO03-IDM210400285,1,Y,12/08/2021,MUHAMMAD RIZAL,CU00211,PT IKAGRIYA DARMAPERSADA,DPIDA00246,BSD21. RUKO ICE BUSINESS BLOK E DEPAN ICE BSD CITY,TANGERANG    , ,20MX12A06XXX,30.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,C3000C,,,
SO03-IDM210400386,1,Y,12/08/2021,MUHAMMAD RIZAL,CU00211,PT IKAGRIYA DARMAPERSADA,DPIDA00246,BSD21. RUKO ICE BUSINESS BLOK E DEPAN ICE BSD CITY,TANGERANG    , ,20MX12A06XXX,180.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,C3000C,,,
SO02-IDM210800120,1,Y,12/08/2021,ANDRY CHRISTIANTO,CU04592,PT. SETIA PRATAMA KONINDO,DPSPO00005,PT THS WTP HARMONI (CPR TE BEAM),BOGOR    , ,25PX12A06XXX,4.00 ,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,C0000E,,,
SO02-IDM210800144,1,Y,12/08/2021,LUDI PURNAMA,CU02816,CV INDOBARU MANDIRI,DPIBM00083,PENGECORAN JALAN PERUMAHAN PT GOLDEN ASIA VILLA CITAYAM POS 2 JL.RAYA PS.SUSUKAN,BOGOR    , ,30FI12A06XXX,6.00 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,C0000E,,,
