S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Order Qty.,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
PLANT: R41CTP - Plant Citeureup Bogor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO02-IDM220900156,1,Y,12/09/2022,DEDE JUNAEDI,CU04638,PT. RAHARDIAN SINAR PURNAMA,DPRSP00005,PERUMAHAN NORTHRIDGE JL BUKIT SENTUL NO 78,BOGOR    , ,35PX12A06XXX,100.00 ,100.00 ,100.00,,,,,,,,18.00,12.00,18.00,12.00,18.00,12.00,10.00, ,,,,,,,,,,CPS,C0000E,,
SO03-IDM220600040,1,Y,12/09/2022,LUDI PURNAMA,CU04966,PT. KURNIA MITRA SEJATI,DPKMS00008,VILLA TAURUS CISARUA BOGOR. JL RAYA PUNCAK KM 77 VILLA TAURUS NO 383 RT 01 RW 01,KEL LEUWIMALANG KEC CISARUA KAB BOGOR    , ,25MX12A06R1X,56.00 ,1.00 ,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,MANUAL,C3000A,,
SO03-IDM220800178,1,Y,12/09/2022,LUDI PURNAMA,CU04966,PT. KURNIA MITRA SEJATI,DPKMS00008,VILLA TAURUS CISARUA BOGOR. JL RAYA PUNCAK KM 77 VILLA TAURUS NO 383 RT 01 RW 01,KEL LEUWIMALANG KEC CISARUA KAB BOGOR    , ,25MX12A06R1X,35.00 ,5.00 ,5.00,,,,,,,,5.00,,,,,,,,,,,,,,,,,MANUAL,C3000A,,
SO02-IDM220900184,1,Y,12/09/2022,DEDE JUNAEDI,CU05302,CV. POETRI MANDIRI PRATAMA,DPPMM00011,PENINGKATAN JALAN PANGRANGO KEC CISARUA,BOGOR    , ,20MX10A06GAP,150.00 ,150.00 ,40.00,,,,,,,,,,,,,,,,,12.00,12.00,12.00,4.00,,,,,MANUAL,C0000E,,
SO03-IDM220900087,1,Y,12/09/2022,DEDE JUNAEDI,CU00281,PT OSCARINDO UTAMA GEMILANG,DPOUG00018,RUKAN DIKLAT RESERSE MEGAMENDUNG,BOGOR    , ,30PX12A06XXX,34.00 ,34.00 ,30.00,,,,,,,,,,,,,,,,,,,,,,12.00,12.00,6.00,MANUAL,C3000D,,
SO03-IDM220600354,1,Y,12/09/2022,DEDE JUNAEDI,CU01144,PT TRIJAYA CITRAPERDANA,DPTCP00014,JL TAPOS CIMANGGIS GOLF ESTATE CLUSTER MARGATA JL MARGATA 6,DEPOK    , ,25FI12A06XXX,750.00 ,334.50 ,55.50,,,,,,,,12.00,18.00,12.00,13.50,,,,,,,,,,,,,,CPS,C3000D,,
SO08-IDM220900012,1,Y,12/09/2022,LUDI PURNAMA,CU04740,PT. INTIGRAHA SELARAS,DPIGS00018,APARTMENT SUWARDANA PARK SEMPLAK PARUNG - BOGOR,BOGOR    , ,30PX12A06GAP,4.00 ,4.00 ,2.00,,,,,,,,,2.00,,,,,,,,,,,,,,,,TRIALMIX,C3000D,,
SO08-IDM220900013,1,Y,12/09/2022,LUDI PURNAMA,CU04740,PT. INTIGRAHA SELARAS,DPIGS00018,APARTMENT SUWARDANA PARK SEMPLAK PARUNG - BOGOR,BOGOR    , ,30FD12A06GAP,4.00 ,4.00 ,2.00,,,,,,,,,2.00,,,,,,,,,,,,,,,,TRIALMIX,C3000D,,
SO02-IDM220900159,1,Y,12/09/2022,DEDE JUNAEDI,CU01824,PT TRI ARTA ADIKARA,DPTAA00014,BP SYAEFUL. CV DELAPAN SAUDARA BOJONG - LINGGAR MUKTI CIBODAS,KEC KLAPANUNGGAL    , ,30MX10A06A7D,224.00 ,224.00 ,60.00,,,,,,,,,,,,,12.00,12.00,12.00,12.00,12.00,,,,,,,,MANUAL,C0000E,,
SO02-IDM220800603,1,Y,12/09/2022,LUDI PURNAMA,CU05338,PT. JAVA NAYLA KONTRAKTOR,DPJNK00002,DATA CENTER CITEUREUP JL PAHLAWAN NO 239 SANJA KEC CITEUREUP,KAB BOGOR    , ,22FN12A06XXX,30.00 ,6.00 ,6.00,,,,,,,,,,,,,6.00,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM220800712,1,Y,12/09/2022,LUDI PURNAMA,CU05338,PT. JAVA NAYLA KONTRAKTOR,DPJNK00002,DATA CENTER CITEUREUP JL PAHLAWAN NO 239 SANJA KEC CITEUREUP,KAB BOGOR    , ,22FN12A06XXX,50.00 ,29.00 ,24.00,,,,,,,,,,,,, ,12.00,12.00,,,,,,,,,,MANUAL,C0000E,,
