S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Order Qty.,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
PLANT: R41CTP - Plant Citeureup Bogor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO08-IDM220400027,1,Y,17/05/2022,ANDRY CHRISTIANTO,CU00301,PT. PEMBANGUNAN PERUMAHAN (PERSERO) TBK,DPPPN00082,BBPPT DEPOK,JAWA BARAT    , ,22FI12A06XXX,4.00 ,4.00 ,3.00,,,,,,,,,3.00,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO08-IDM220400028,1,Y,17/05/2022,ANDRY CHRISTIANTO,CU00301,PT. PEMBANGUNAN PERUMAHAN (PERSERO) TBK,DPPPN00082,BBPPT DEPOK,JAWA BARAT    , ,30FI12A06XXX,4.00 ,4.00 ,3.00,,,,,,,,,3.00,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM220500027,1,Y,17/05/2022,LUDI PURNAMA,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,LCPX12A06XXX,84.00 ,84.00 ,70.00,,,,,,,,,,18.00,18.00,18.00,16.00,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM220400559,1,Y,17/05/2022,LUDI PURNAMA,CU04616,PT. STRADA CAHYA GEMILANG,DPSCG00061,PT TRIBANGUN PILAR PERSADA. PT GIVAUDAN INDONESIA JL RAYA JAKARTA BOGOR KM 35,CIMANGGIS DEPOK JAWA BARAT    , ,35FI12A06XXX,100.00 ,42.00 ,40.00,,,,,,,,,,,,,,,,,,,12.00,12.00,12.00,4.00,,,MANUAL,C3000D,,
