S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,1.0,2.0,3.0,4.0,5.0,6.0,UnLoading Method,Term,Remark,Reason,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,
PLANT: R28CMP - Plant Cempaka Putih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM210600147,1,Y,23/07/2021,SULAIMAN,CU04273,PT. GADINGMANDIRI GRAHA REALTY,DPGMG00018,KINGSPOINT 6X15 NO 20 22 26 28. JL RAYA PERJUANGAN TELUK PUCUNG BEKASI UTARA,SAMPING KANTOR KORAMIL TELUK PUCUNG    , ,17FI12A06XXX,51.00 ,14.0,,,7.00,7.00,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210600320,1,Y,23/07/2021,SULAIMAN,CU04273,PT. GADINGMANDIRI GRAHA REALTY,DPGMG00018,KINGSPOINT 6X15 NO 20 22 26 28. JL RAYA PERJUANGAN TELUK PUCUNG BEKASI UTARA,SAMPING KANTOR KORAMIL TELUK PUCUNG    , ,25FI12A06XXX,89.00 ,56.0,,,,21.00,21.00,14.00,,,,,,,,,,,,,,,,,,,CPS,C3000D,,,
SO08-IDM210700016,1,Y,23/07/2021,SULAIMAN,CU04692,PT. TRICO WANA,DPTRW00002,PEMBANGUNAN TORTOAR DURIKOSAMBI,JAKARTA    , ,25PX12A06XXX,6.00 ,3.0,,,,3.00,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO08-IDM210700017,1,Y,23/07/2021,SULAIMAN,CU04692,PT. TRICO WANA,DPTRW00002,PEMBANGUNAN TORTOAR DURIKOSAMBI,JAKARTA    , ,DECOC0206K25,6.00 ,3.0,,,,,3.00,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
