S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Order Qty.,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO02-IDM220800028,1,Y,06/08/2022,LUDI PURNAMA,CU05278,PT. INTISUKSES MITRA SEJATI,DPIMS00004,SENTUL SANCTUARY DESA CIJAYANTI BABAKAN MADANG SENTUL,KAB BOGOR    , ,22FI12A06XXX,100.00 ,70.00 ,70.00,,,,,,,,12.00,18.00,12.00,18.00,10.00,,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM220800029,1,Y,06/08/2022,LUDI PURNAMA,CU05278,PT. INTISUKSES MITRA SEJATI,DPIMS00004,SENTUL SANCTUARY DESA CIJAYANTI BABAKAN MADANG SENTUL,KAB BOGOR    , ,22FI12C06XXX,50.00 ,44.00 ,10.00,,,,,,,,,,,,10.00,,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM220800073,1,Y,06/08/2022,DEDE JUNAEDI,CU05272,CV. FASCA,DPFSC00002,PENINGKATAN JALAN KRANGGAN - GUNUNG PUTRI KEC GN PUTRI,JL KRANGGAN GUNUNG PUTRI KECAMATAN GUNUNG PUTRI    , ,30MX10A06A7D,35.00 ,35.00 ,35.00,,,,,,,,,,,,,12.00,12.00,11.00,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM220800107,1,Y,06/08/2022,DEDE JUNAEDI,CU05272,CV. FASCA,DPFSC00002,PENINGKATAN JALAN KRANGGAN - GUNUNG PUTRI KEC GN PUTRI,JL KRANGGAN GUNUNG PUTRI KECAMATAN GUNUNG PUTRI    , ,30MX10A06GAP,75.00 ,75.00 ,75.00,,,,,,,,,,,,,,,12.00,12.00,12.00,12.00,12.00,15.00,,,,,MANUAL,C0000E,,
SO03-IDM220600213,1,Y,06/08/2022,DEDE JUNAEDI,CU00213,PT INDONESIA PONDASI RAYA TBK,DPIPA00041,HOTEL LUMINOR BOGOR (B22009) JL CIDANGIANG BOGOR,BOGOR    , ,28MX18A06HL6,1700.00 ,1267.50 ,18.00,,,,,,,,,,,,6.00,6.00,6.00,,,,,,,,,,,MANUAL,C3000C,,
SO03-IDM220800086,1,Y,06/08/2022,DEDE JUNAEDI,CU00324,PT SINAR ETERNA,DPSEA00029,JL LAMBAU LIO BARU RT 001 RW 003 CITEUREUP,BOGOR    , ,30PX12A06XXX,7.00 ,7.00 ,7.00,,,,,,,,7.00,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM220800075,1,Y,06/08/2022,LUDI PURNAMA,CU02937,PT. ADHI COMMUTER PROPERTI,DPACP00008,MARKETING GALLERY ADHI CITY SENTUL EXIT TOLL JAGORAWI KM 33 JL ANGGREK,DESA KADUMANGU KEC BABAKAN MADANG BOGOR JAWA BARAT 16810    , ,35PX12A06XXX,168.00 ,168.00 ,10.00,,,,,,,,6.00,4.00,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM220700244,1,Y,06/08/2022,DEDE JUNAEDI,CU00213,PT INDONESIA PONDASI RAYA TBK,DPIPA00041,HOTEL LUMINOR BOGOR (B22009) JL CIDANGIANG BOGOR,BOGOR    , ,28MX18C06HL6,100.00 ,30.50 ,6.00,,,,,,,,,,,,,,,6.00,,,,,,,,,,MANUAL,C3000C,,
SO02-IDM220800173,1,Y,06/08/2022,LUDI PURNAMA,CU03170,PT MITRA TATA ABADI BERSAMA,DPMTA00013,KEMANG EMINENCE,BOGOR    , ,35PX08C06XXX,12.00 ,12.00 ,12.00,,,,,,,,6.00,6.00,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO21-IDM220800002,1,Y,06/08/2022,LUDI PURNAMA,CU04996,PT. HCS TRI DINAMIKA,DPHDN00002,PT INDOKRDSA TBK JL RAYA PAHLAWAN CITEUREUP,BOGOR    , ,VIPER350-1D,3.00 ,3.00 ,3.00,,,,,,,,3.00,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
