S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Order Qty.,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO02-IDM220800063,1,Y,18/08/2022,DEDE JUNAEDI,CU02214,CV SEKAR PELANGI,DPSKP00008,PENINGKATAN CIPAMUMBUTAN - BARU KARAMAT KECAMATAN CISARUA,CISARUA    , ,10MX10A06GAP,200.00 ,65.00 ,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,C0000E,,
SO02-IDM220800415,1,Y,18/08/2022,DEDE JUNAEDI,CU02214,CV SEKAR PELANGI,DPSKP00008,PENINGKATAN CIPAMUMBUTAN - BARU KARAMAT KECAMATAN CISARUA,CISARUA    , ,20MX10A06GAP,420.00 ,420.00 ,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,C0000E,,
SO02-IDM220800065,1,Y,18/08/2022,DEDE JUNAEDI,CU05277,CV. TERRADAYA PRATAMA,DPTRP00004,PENINGKATAN JALAN TEGAL PANJANG (LEMIGAS) DESA TUGU SELATAN,KEC CISARUA    , ,10MX10A06GAP,50.00 ,10.00 ,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,C0000E,,
SO02-IDM220800089,1,Y,18/08/2022,DEDE JUNAEDI,CU05277,CV. TERRADAYA PRATAMA,DPTRP00004,PENINGKATAN JALAN TEGAL PANJANG (LEMIGAS) DESA TUGU SELATAN,KEC CISARUA    , ,10MX10A06GAP,80.00 ,30.00 ,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,C0000E,,
SO02-IDM220800244,1,Y,18/08/2022,DEDE JUNAEDI,CU05277,CV. TERRADAYA PRATAMA,DPTRP00004,PENINGKATAN JALAN TEGAL PANJANG (LEMIGAS) DESA TUGU SELATAN,KEC CISARUA    , ,10MX10A06GAP,87.00 ,17.00 ,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,C0000E,,
SO02-IDM220800413,1,Y,18/08/2022,DEDE JUNAEDI,CU05277,CV. TERRADAYA PRATAMA,DPTRP00004,PENINGKATAN JALAN TEGAL PANJANG (LEMIGAS) DESA TUGU SELATAN,KEC CISARUA    , ,20MX10A06GAP,515.00 ,515.00 ,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,C0000E,,
SO02-IDM220800414,1,Y,18/08/2022,DEDE JUNAEDI,CU05277,CV. TERRADAYA PRATAMA,DPTRP00004,PENINGKATAN JALAN TEGAL PANJANG (LEMIGAS) DESA TUGU SELATAN,KEC CISARUA    , ,10MX10A06GAP,13.00 ,13.00 ,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,C0000E,,
