S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Order Qty.,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM211200174,1,Y,24/12/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,40PX12A06P3R,408.00 ,329.50 ,24.00,,,,,,,,,,,,,,,,,,,,6.00,6.00,6.00,6.00,,MANUAL,C3000D,,,
SO03-IDM211100437,1,Y,24/12/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,30PX12A06GAP,97.00 ,97.00 ,6.00,,,,,,,,,,,,,,,6.00,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM211200256,1,Y,24/12/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,40PX18A06P3R,430.00 ,430.00 ,6.00,,,,,,,,,,,,,,,,6.00,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM211100468,1,Y,24/12/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,LCPX12A06XXX,152.00 ,146.00 ,6.00,,,,,,,,,,,,,,,,,6.00,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210900314,1,Y,24/12/2021,ANDRY CHRISTIANTO,CU04781,PT. HUTOMO MANDALA PERKASA,DPHMP00013,PEKERJAAN PEDESTRIAN PENINGKATAN JALAN TEGAR BERIMAN,PEMDA KAB BOGOR    , ,15MI10A06BGR,1000.00 ,716.00 ,6.00,,,,,,,,,,,,,,,,,,,,,,6.00,,,MANUAL,C3000D,,,
SO03-IDM210900315,1,Y,24/12/2021,ANDRY CHRISTIANTO,CU04781,PT. HUTOMO MANDALA PERKASA,DPHMP00013,PEKERJAAN PEDESTRIAN PENINGKATAN JALAN TEGAR BERIMAN,PEMDA KAB BOGOR    , ,10MI10A06BGR,1000.00 ,963.00 ,6.00,,,,,,,,,,,,,,,,,,,,,,,6.00,,MANUAL,C3000D,,,
SO03-IDM210900316,1,Y,24/12/2021,ANDRY CHRISTIANTO,CU04781,PT. HUTOMO MANDALA PERKASA,DPHMP00013,PEKERJAAN PEDESTRIAN PENINGKATAN JALAN TEGAR BERIMAN,PEMDA KAB BOGOR    , ,30MX10A06BGR,1000.00 ,622.50 ,6.00,,,,,,,,,,,,,,,,,,,,,,,,6.00,MANUAL,C3000D,,,
SO02-IDM211200194,1,Y,24/12/2021,LUDI PURNAMA,CU04927,PT. MIRTADA SEJAHTERA,DPMTS00002,HOTEL SAYAGA WISATA BOGOR JL TEGAR BERIMAN KEL TENGAH,KEC CIBINONG    , ,35PX12A06GAP,300.00 ,205.00 ,159.00,,,,,,,,,,,18.00,12.00,18.00,12.00,18.00,12.00,18.00,12.00,18.00,21.00,,,,,CPS,C0000E,,,
SO03-IDM211200406,1,Y,24/12/2021,LUDI PURNAMA,CU00987,PT LAKSANA BANGUN MANDIRI,DPLBM00044,PEMBANGUNAN RUMAH CONTOH PROYEK KAHURIPAN BOGOR,BOGOR    , ,25PX12A06XXX,15.00 ,15.00 ,15.00,,,,,,,,,15.00,,,,,,,,,,,,,,,,CPS,C3000A,,,
SO02-IDM211200504,1,Y,24/12/2021,ANDRY CHRISTIANTO,CU04432,PT ALHADI BERKAH SUKSES,DPABS00077,PT INDO BOGA UTAMA. JL KP BOJONG NANGKA RT 020 RW 009 (PATOKAN SHOWROOM SENTUL),GUNUNG PUTRI BOGOR    , ,25PX12A06XXX,20.00 ,20.00 ,20.00,,,,,,,,,,,,,,,7.00,7.00,6.00,,,,,,,,MANUAL,C0000E,,,
SO03-IDM211200348,1,Y,24/12/2021,LUDI PURNAMA,CU04616,PT. STRADA CAHYA GEMILANG,DPSCG00061,PT TRIBANGUN PILAR PERSADA. PT GIVAUDAN INDONESIA JL RAYA JAKARTA BOGOR KM 35,CIMANGGIS DEPOK JAWA BARAT    , ,35FI12A06XXX,25.00 ,25.00 ,18.00,,,,,,,,,,,,6.00,6.00,6.00,,,,,,,,,,,MANUAL,C3000D,,,
SO02-IDM211200506,1,Y,24/12/2021,ANDRY CHRISTIANTO,CU04651,PT. JAKARTA PRIMA UTAMA,DPJPT00006,PT NUTRIFOOD INDONESIA (PLANT SENTUL) JL ALTERNATIF SENTUL NO 9 SENTUL,KEC BABAKAN MADANG BOGOR JAWA BARAT 16810 (DEPAN POM BENSIN SENTUL)    , ,35FI08A06XXX,4.00 ,4.00 ,4.00,,,,,,,,4.00,,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO02-IDM211200461,1,Y,24/12/2021,LUDI PURNAMA,CU02816,CV INDOBARU MANDIRI,DPIBM00158,BETONISASI JALAN DESA SASAK PANJANG KEC TAJURHALANG JL RAYA INKOPAD,DESA SASAK PANJANG TAJURHALANG    , ,30FI12A06XXX,300.00 ,300.00 ,50.00,,,,,,,,12.00,12.00,8.00,6.00,6.00,6.00,,,,,,,,,,,,MANUAL,C0000E,,,
