S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Order Qty.,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO08-IDM220400059,1,Y,20/04/2022,ANDRY CHRISTIANTO,CU04556,DINAS PEKERJAAN UMUM DAN PENATAAN TATA RUANG KABUPATEN BOGOR,DPDPU00008,AREA KABUPATEN BOGOR,KAB BOGOR    , ,10MX10A06BGR,4.00 ,4.00 ,3.00,,,,,,,,,,3.00,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO08-IDM220400060,1,Y,20/04/2022,ANDRY CHRISTIANTO,CU04556,DINAS PEKERJAAN UMUM DAN PENATAAN TATA RUANG KABUPATEN BOGOR,DPDPU00008,AREA KABUPATEN BOGOR,KAB BOGOR    , ,25MX10A06BGR,4.00 ,4.00 ,3.00,,,,,,,,,,3.00,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO08-IDM220400061,1,Y,20/04/2022,ANDRY CHRISTIANTO,CU04556,DINAS PEKERJAAN UMUM DAN PENATAAN TATA RUANG KABUPATEN BOGOR,DPDPU00008,AREA KABUPATEN BOGOR,KAB BOGOR    , ,30MX10A06BGR,4.00 ,4.00 ,3.00,,,,,,,,,,,3.00,,,,,,,,,,,,,,MANUAL,C3000D,,
SO08-IDM220400062,1,Y,20/04/2022,ANDRY CHRISTIANTO,CU04556,DINAS PEKERJAAN UMUM DAN PENATAAN TATA RUANG KABUPATEN BOGOR,DPDPU00008,AREA KABUPATEN BOGOR,KAB BOGOR    , ,40MX10A06BGR,4.00 ,4.00 ,3.00,,,,,,,,,,,,3.00,,,,,,,,,,,,,MANUAL,C3000D,,
SO08-IDM220400063,1,Y,20/04/2022,ANDRY CHRISTIANTO,CU04556,DINAS PEKERJAAN UMUM DAN PENATAAN TATA RUANG KABUPATEN BOGOR,DPDPU00008,AREA KABUPATEN BOGOR,KAB BOGOR    , ,45MX10A06BGR,4.00 ,4.00 ,3.00,,,,,,,,,,,,,3.00,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM220400240,1,Y,20/04/2022,LUDI PURNAMA,CU04520,PT. SINERGITAS BANGUN GRAHA,DPSBA00017,CIMANGGIS GOLF ESTATE TAPOS,DEPOK    , ,25FD12A06XXX,40.00 ,16.00 ,6.00,,,,,,,,,,,,,,,6.00,,,,,,,,,,MANUAL,C3000D,,
