S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Order Qty.,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
PLANT: R41CTP - Plant Citeureup Bogor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO08-IDM230200001,1,Y,02/02/2023,ANDRY CHRISTIANTO,CU05577,PT. YURI KONSTRUKSI INDONESIA,DPYKI00005,APARTMENT LA MONTANA BOGOR NIRWANA RESIDENCE,JAWA BARAT    , ,30MX16A06R1P,4.00 ,4.00 ,2.00,,,,,,,,,,2.00,,,,,,,,,,,,,,,TRIAL MIX,C0000E,,
SO03-IDM230200006,1,Y,02/02/2023,LUDI PURNAMA,CU04531,PT. MENARA INTI KARYA,DPMIK00008,PROYEK INTERFLEX JL TENGSAU KP MALINGPING DESA SUKAHATI,CITEUREUP    , ,30FN12A06XXX,30.00 ,30.00 ,14.00,,,,,,,,6.00,6.00,2.00,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM230100198,1,Y,02/02/2023,LUDI PURNAMA,CU04531,PT. MENARA INTI KARYA,DPMIK00008,PROYEK INTERFLEX JL TENGSAU KP MALINGPING DESA SUKAHATI,CITEUREUP    , ,30FN12A06XXX,40.00 ,7.50 ,3.50,,,,,,,,,,,3.50,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM230100276,1,Y,02/02/2023,LUDI PURNAMA,CU04520,PT. SINERGITAS BANGUN GRAHA,DPSBA00017,CIMANGGIS GOLF ESTATE TAPOS,DEPOK    , ,25FD12A06XXX,200.00 ,200.00 ,150.00,,,,,,,,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,6.00,,,,,,,,,CPS,C3000D,,
SO03-IDM230100251,1,Y,02/02/2023,ANDRY CHRISTIANTO,CU00324,PT SINAR ETERNA,DPSEA00029,JL LAMBAU LIO BARU RT 001 RW 003 CITEUREUP,BOGOR    , ,30PX12A06XXX,11.00 ,11.00 ,11.00,,,,,,,,,,,6.00,5.00,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM230100171,1,Y,02/02/2023,ANDRY CHRISTIANTO,CU04497,CV. SURYA PRATAMA INDONESIA,DPSPT00013,OCBD CLUSTER VIRGINIA PINE JL KAUM SARI 33 RT 05 RW 01 CIBULUH KEC BOGOR UTARA,KOTA BOGOR JAWA BARAT 16151    , ,22PX12A06XXX,24.00 ,24.00 ,8.00,,,,,,,,,,8.00,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM230100268,1,Y,02/02/2023,DEDE JUNAEDI,CU04789,PT. MANDIRI JAYA MAKMUR SENTOSA,DPMJM00038,JALAN PALEM POS 16 PROYEK RANCAMAYA GOLF ESTATE CLUSTER AMADEUS RANCAMAYA,BOGOR SELATAN    , ,25PX12A06XXX,100.00 ,94.00 ,12.00,,,,,,,,,,,,6.00,6.00,,,,,,,,,,,,MANUAL,C3000A,,
