S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Order Qty.,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,
PLANT: R41CTP - Plant Citeureup Bogor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM211100229,1,Y,16/11/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,40PX18A06P3R,347.00 ,347.00 ,6.0,,,,,,,,,,,6.00,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM211000355,1,Y,16/11/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,LCFI12A06XXX,263.00 ,156.00 ,6.0,,,,,,,,,,,,,,6.00,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM211100089,1,Y,16/11/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,40PX12A06P3R,1251.00 ,1227.00 ,24.0,,,,,,,,,,,,,,,,,,6.00,6.00,6.00,6.00,,,,MANUAL,C3000D,,,
SO03-IDM211000405,1,Y,16/11/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,30PX12A06GAP,158.00 ,129.00 ,12.0,,,,,,,,,,,,,,,,,6.00,6.00,,,,,,,MANUAL,C3000D,,,
SO03-IDM211000406,1,Y,16/11/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,M5PXXXS06XXX,15.00 ,15.00 ,2.0,,,,,,,,,,,,,,,,,,,,2.00,,,,,MANUAL,C3000D,,,
SO03-IDM210900006,1,Y,16/11/2021,ANDRY CHRISTIANTO,CU00135,PT ADHI KARYA ( PERSERO )  TBK,DPAKP00027,PEMBANGUNAN JALUR GANDA KA KM 6+800 S.D 8+500 ANTARA BATUTULIS - CIOMAS,LINTAS BOGOR - SUKABUMI JL KP ERETAN (DI JL UTAMA JL RAYA CIPAKU) KEC BOGOR SELATAN KOTA BOGOR    , ,30PX10A06RBC,500.00 ,334.00 ,6.0,,,,,,,,,,,,,6.00,,,,,,,,,,,,MANUAL,C4500D,,,
SO03-IDM211000306,1,Y,16/11/2021,ANDRY CHRISTIANTO,CU00135,PT ADHI KARYA ( PERSERO )  TBK,DPAKP00027,PEMBANGUNAN JALUR GANDA KA KM 6+800 S.D 8+500 ANTARA BATUTULIS - CIOMAS,LINTAS BOGOR - SUKABUMI JL KP ERETAN (DI JL UTAMA JL RAYA CIPAKU) KEC BOGOR SELATAN KOTA BOGOR    , ,12BX18A06RBC,100.00 ,100.00 ,6.0,,,,,,,,,,,,,,6.00,,,,,,,,,,,MANUAL,C4500D,,,
SO03-IDM211000307,1,Y,16/11/2021,ANDRY CHRISTIANTO,CU00135,PT ADHI KARYA ( PERSERO )  TBK,DPAKP00027,PEMBANGUNAN JALUR GANDA KA KM 6+800 S.D 8+500 ANTARA BATUTULIS - CIOMAS,LINTAS BOGOR - SUKABUMI JL KP ERETAN (DI JL UTAMA JL RAYA CIPAKU) KEC BOGOR SELATAN KOTA BOGOR    , ,35BX18A06RBC,360.00 ,233.00 ,6.0,,,,,,,,,,,,,,,6.00,,,,,,,,,,MANUAL,C4500D,,,
SO03-IDM210900314,1,Y,16/11/2021,ANDRY CHRISTIANTO,CU04781,PT. HUTOMO MANDALA PERKASA,DPHMP00013,PEKERJAAN PEDESTRIAN PENINGKATAN JALAN TEGAR BERIMAN,PEMDA KAB BOGOR    , ,15MI10A06BGR,1000.00 ,988.00 ,6.0,,,,,,,,,,,,,,6.00,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210900315,1,Y,16/11/2021,ANDRY CHRISTIANTO,CU04781,PT. HUTOMO MANDALA PERKASA,DPHMP00013,PEKERJAAN PEDESTRIAN PENINGKATAN JALAN TEGAR BERIMAN,PEMDA KAB BOGOR    , ,10MI10A06BGR,1000.00 ,979.00 ,6.0,,,,,,,,,,,,,,,6.00,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210900316,1,Y,16/11/2021,ANDRY CHRISTIANTO,CU04781,PT. HUTOMO MANDALA PERKASA,DPHMP00013,PEKERJAAN PEDESTRIAN PENINGKATAN JALAN TEGAR BERIMAN,PEMDA KAB BOGOR    , ,30MX10A06BGR,1000.00 ,794.50 ,6.0,,,,,,,,,,,,,,,,6.00,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM211100252,1,Y,16/11/2021,ANDRY CHRISTIANTO,CI00012,PT ANDALAN NUSA PRATAMA,CIANP00010,PEMBUATAN PARKIR POOL 2 HO KARANGGAN,KARANGGAN    , ,22PX12A06XXX,13.00 ,13.00 ,10.0,,,,,,,,,,5.00,,5.00,,,,,,,,,,,,,MANUAL,C0000A,,,
SO02-IDM211100291,1,Y,16/11/2021,ANDRY CHRISTIANTO,CT01873,BP HERI KUSUMA (NIK 3271040704810022),DRHRK00197,LOCO. COR RUMAH MAGDALENA PERUM BUMI PERTIWI CILEBUT BLOK T NO 18-19 RT 07/12,BOGOR    , ,30FI12A06XXX,6.00 ,6.00 ,6.0,,,,,,,,,,3.00,3.00,,,,,,,,,,,,,,LOCO MINIMIX,C0000E,,,
SO02-IDM211100216,1,Y,16/11/2021,ANDRY CHRISTIANTO,CU04848,PT. TEGUH KARYA GRAHARTA,DPTKG00006,PT SENTRA BRA MAKMUR JL RAYA MERCEDES BENT RT 01/03,GUNUNG PUTRI    , ,30PX12A06XXX,36.00 ,12.00 ,5.0,,,,,,,,,5.00,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO02-IDM211100247,1,Y,16/11/2021,ANDRY CHRISTIANTO,CU04848,PT. TEGUH KARYA GRAHARTA,DPTKG00006,PT SENTRA BRA MAKMUR JL RAYA MERCEDES BENT RT 01/03,GUNUNG PUTRI    , ,30PX12A06XXX,41.00 ,20.00 ,20.0,,,,,,,,,,6.00,6.00,6.00,2.00,,,,,,,,,,,,MANUAL,C0000E,,,
SO02-IDM211100312,1,Y,16/11/2021,ANDRY CHRISTIANTO,CU04902,BEND. DESA LALADON,DRBDL00002,TPK LALADON JL KAMPUNG SAWAH BARU RT 008 RW 007 DESA LALADON,KEC CIOMAS BOGOR    , ,30FI12A06XXX,81.50 ,81.50 ,87.5,,,,,,6.00,,,,,12.00,12.00,12.00,12.00,12.00,6.00,6.00,6.00,3.50,,,,,,MANUAL,C0000E,,,
SO03-IDM211000002,1,Y,16/11/2021,ANDRY CHRISTIANTO,CU04743,PT. RIZ GIGA UTAMA,DPRGU00002,PEKERJAAN PENUNJANG PENINGKATAN JALAN SP JL TOLE ISKANDAR - PD RAJEG,BTS DEPOK/BOGOR    , ,20MX12A06JSP,600.00 ,370.00 ,5.0,,,,,,,,,,5.00,,,,,,,,,,,,,,,MANUAL,C4500D,,,
SO02-IDM211100288,1,Y,16/11/2021,ANDRY CHRISTIANTO,CU04432,PT ALHADI BERKAH SUKSES,DPABS00068,BP CHANDRA EKA PUTRA. PROJECT SAMISADE (SIRAHDAYEUH) CICADAS GN PUTRI KAB BOGOR,GANG PT VAKSINDO RT 01 RW 06 DESA CICADAS (LOKASI DIBELAKANG) BOGOR    , ,25FI12A06XXX,10.00 ,10.00 ,10.0,,,,,,,,,,,,6.00,4.00,,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM211100238,1,Y,16/11/2021,LUDI PURNAMA,CU04616,PT. STRADA CAHYA GEMILANG,DPSCG00061,PT TRIBANGUN PILAR PERSADA. PT GIVAUDAN INDONESIA JL RAYA JAKARTA BOGOR KM 35,CIMANGGIS DEPOK JAWA BARAT    , ,35FI12A06XXX,125.00 ,125.00 ,17.0,,,,,,,,14.00,3.00,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
